features,test_dataset,trained_on,split,balanced_accuracy,auroc
physiology,Stress-Predict,within_dataset,7,0.7488181043168256,0.8076183833217082
physiology,Stress-Predict,other_datasets_only,7,0.6188018290320081,0.6560412307215376
physiology,Stress-Predict,all_datasets,7,0.6803999069983724,0.7408974657056498
physiology,Stress-Predict,within_dataset,8,0.7339159067882473,0.8030252659574468
physiology,Stress-Predict,other_datasets_only,8,0.6292426545086119,0.6962623480243161
physiology,Stress-Predict,all_datasets,8,0.6749936676798378,0.7667648176291793
physiology,Stress-Predict,within_dataset,9,0.7502890173410404,0.8405841192576817
physiology,Stress-Predict,other_datasets_only,9,0.6515819896562215,0.7169911773653788
physiology,Stress-Predict,all_datasets,9,0.6914663827198053,0.8008974749011256
physiology,Stress-Predict,within_dataset,10,0.7492401215805471,0.8229793437131692
physiology,Stress-Predict,other_datasets_only,10,0.6489904472427268,0.7261181068171949
physiology,Stress-Predict,all_datasets,10,0.7017477203647416,0.7966162148750078
physiology,Stress-Predict,within_dataset,11,0.7138411404037128,0.7586680875380316
physiology,Stress-Predict,other_datasets_only,11,0.597700350584565,0.7011150751362955
physiology,Stress-Predict,all_datasets,11,0.7015629585012897,0.7632241424577986
physiology,Stress-Predict,within_dataset,12,0.7275633054901329,0.8097690135900174
physiology,Stress-Predict,other_datasets_only,12,0.6274301847598707,0.6886584063546863
physiology,Stress-Predict,all_datasets,12,0.7007416726400327,0.7764156877660586
physiology,Stress-Predict,within_dataset,13,0.7152551732155312,0.8075156940246455
physiology,Stress-Predict,other_datasets_only,13,0.6596140432457568,0.7089194373401534
physiology,Stress-Predict,all_datasets,13,0.716810044175773,0.7759387351778657
physiology,Stress-Predict,within_dataset,14,0.734742258425569,0.7775618704141276
physiology,Stress-Predict,other_datasets_only,14,0.6072239149359533,0.6756933217261534
physiology,Stress-Predict,all_datasets,14,0.6649359532396468,0.742678149483895
physiology,Stress-Predict,within_dataset,15,0.7223932464812199,0.7846522477348102
physiology,Stress-Predict,other_datasets_only,15,0.6121328488233707,0.6605468192132531
physiology,Stress-Predict,all_datasets,15,0.6739872102064457,0.7598502039067582
physiology,Stress-Predict,within_dataset,16,0.6824109315530043,0.738035814562925
physiology,Stress-Predict,other_datasets_only,16,0.6638641043239533,0.7626193298808261
physiology,Stress-Predict,all_datasets,16,0.7210098583640108,0.7835995507580957
physiology,Stress-Predict,within_dataset,17,0.8084413521413141,0.8864055153132545
physiology,Stress-Predict,other_datasets_only,17,0.6686920193163045,0.766488753335875
physiology,Stress-Predict,all_datasets,17,0.7690859702630576,0.8415618248824502
physiology,Stress-Predict,within_dataset,18,0.6934684684684684,0.7487537537537537
physiology,Stress-Predict,other_datasets_only,18,0.615915915915916,0.6402102102102102
physiology,Stress-Predict,all_datasets,18,0.6783408408408409,0.7190540540540541
physiology,Stress-Predict,within_dataset,19,0.7403341184043066,0.8179756871809125
physiology,Stress-Predict,other_datasets_only,19,0.6786012083266286,0.7558404891821122
physiology,Stress-Predict,all_datasets,19,0.7469170116590353,0.8121388551617198
physiology,UBFC-Phys,within_dataset,0,0.7,0.855
physiology,UBFC-Phys,other_datasets_only,0,0.5499999999999999,0.9099999999999999
physiology,UBFC-Phys,all_datasets,0,0.7749999999999999,0.87
physiology,UBFC-Phys,within_dataset,1,0.65,0.9400000000000001
physiology,UBFC-Phys,other_datasets_only,1,0.5,0.94
physiology,UBFC-Phys,all_datasets,1,0.7,0.8699999999999999
physiology,UBFC-Phys,within_dataset,2,0.8,0.9425
physiology,UBFC-Phys,other_datasets_only,2,0.6125,0.9612499999999999
physiology,UBFC-Phys,all_datasets,2,0.825,0.9375
physiology,UBFC-Phys,within_dataset,3,0.85,0.8500000000000001
physiology,UBFC-Phys,other_datasets_only,3,0.85,0.9299999999999999
physiology,UBFC-Phys,all_datasets,3,0.8,0.915
physiology,UBFC-Phys,within_dataset,4,0.8416666666666667,0.9683333333333334
physiology,UBFC-Phys,other_datasets_only,4,0.6,0.8883333333333333
physiology,UBFC-Phys,all_datasets,4,0.825,0.89
physiology,UBFC-Phys,within_dataset,5,0.875,0.97375
physiology,UBFC-Phys,other_datasets_only,5,0.65,0.91625
physiology,UBFC-Phys,all_datasets,5,0.7749999999999999,0.88125
physiology,UBFC-Phys,within_dataset,6,0.625,0.6699999999999999
physiology,UBFC-Phys,other_datasets_only,6,0.7,0.5950000000000001
physiology,UBFC-Phys,all_datasets,6,0.525,0.62
physiology,UBFC-Phys,within_dataset,7,0.725,0.86
physiology,UBFC-Phys,other_datasets_only,7,0.5499999999999999,0.83
physiology,UBFC-Phys,all_datasets,7,0.775,0.805
physiology,UBFC-Phys,within_dataset,8,0.8166666666666667,0.8833333333333333
physiology,UBFC-Phys,other_datasets_only,8,0.6333333333333333,0.7583333333333333
physiology,UBFC-Phys,all_datasets,8,0.7166666666666666,0.8
physiology,UBFC-Phys,within_dataset,9,0.75,0.93
physiology,UBFC-Phys,other_datasets_only,9,0.65,0.9974999999999999
physiology,UBFC-Phys,all_datasets,9,0.9125,0.98625
physiology,UBFC-Phys,within_dataset,10,0.825,0.89
physiology,UBFC-Phys,other_datasets_only,10,0.5499999999999999,0.8175
physiology,UBFC-Phys,all_datasets,10,0.7,0.8025
physiology,UBFC-Phys,within_dataset,11,0.8500000000000001,0.88
physiology,UBFC-Phys,other_datasets_only,11,0.575,0.8825000000000001
physiology,UBFC-Phys,all_datasets,11,0.725,0.8625
physiology,UBFC-Phys,within_dataset,12,0.775,0.8674999999999999
physiology,UBFC-Phys,other_datasets_only,12,0.725,0.9
physiology,UBFC-Phys,all_datasets,12,0.7749999999999999,0.89
physiology,UBFC-Phys,within_dataset,13,0.9,0.9666666666666667
physiology,UBFC-Phys,other_datasets_only,13,0.575,0.9216666666666666
physiology,UBFC-Phys,all_datasets,13,0.8833333333333333,0.9233333333333333
physiology,UBFC-Phys,within_dataset,14,0.775,0.79
physiology,UBFC-Phys,other_datasets_only,14,0.475,0.9400000000000001
physiology,UBFC-Phys,all_datasets,14,0.75,0.885
physiology,UBFC-Phys,within_dataset,15,0.925,0.9625
physiology,UBFC-Phys,other_datasets_only,15,0.575,0.8775
physiology,UBFC-Phys,all_datasets,15,0.7749999999999999,0.8875
physiology,UBFC-Phys,within_dataset,16,0.85,0.975
physiology,UBFC-Phys,other_datasets_only,16,0.85,0.945
physiology,UBFC-Phys,all_datasets,16,0.775,0.96
physiology,UBFC-Phys,within_dataset,17,0.75,0.86
physiology,UBFC-Phys,other_datasets_only,17,0.575,0.8799999999999999
physiology,UBFC-Phys,all_datasets,17,0.8,0.8674999999999999
physiology,UBFC-Phys,within_dataset,18,0.675,0.745
physiology,UBFC-Phys,other_datasets_only,18,0.7,0.675
physiology,UBFC-Phys,all_datasets,18,0.625,0.7024999999999999
physiology,UBFC-Phys,within_dataset,19,0.875,0.9550000000000001
physiology,UBFC-Phys,other_datasets_only,19,0.825,0.915
physiology,UBFC-Phys,all_datasets,19,0.775,0.9049999999999999
physiology,WESAD,within_dataset,0,0.9240683458535867,0.9941081160701134
physiology,WESAD,other_datasets_only,0,0.9280085432316983,0.9799675946383857
physiology,WESAD,all_datasets,0,0.9452054794520548,0.9963175725438208
physiology,WESAD,within_dataset,1,0.9755376344086022,0.9941628264208909
physiology,WESAD,other_datasets_only,1,0.8523425499231951,0.9483102918586789
physiology,WESAD,all_datasets,1,0.8906298003072197,0.9797235023041475
physiology,WESAD,within_dataset,2,0.8616219475429605,0.968947844437745
physiology,WESAD,other_datasets_only,2,0.6771178776002412,0.7647723846849563
physiology,WESAD,all_datasets,2,0.7745703949351823,0.8679529695507989
physiology,WESAD,within_dataset,3,0.9908256880733946,0.9997706422018349
