train,test,normalisation,method,seed,balanced_accuracy,macro_f1,auroc
PhysioNet,WESAD,none,finetune_k5 (uses target labels),7,0.9544556249784253,0.9460779639106986,0.9897131416341607
PhysioNet,WESAD,none,coral,7,0.6547811118811994,0.6616562337370244,0.7792882869576085
PhysioNet,WESAD,none,mmd,7,0.7363088407394363,0.6827095262883915,0.8038982877529456
PhysioNet,WESAD,none,dann,7,0.7790326429050254,0.77217456535782,0.8495392726074555
PhysioNet,WESAD,none,subject_dann,7,0.7064694988240373,0.6691883736038056,0.7680172247281651
PhysioNet,WESAD,none,source_only,8,0.6157016577096566,0.6108804955341249,0.7912012998079829
PhysioNet,WESAD,none,finetune_k5 (uses target labels),8,0.965903206876316,0.9583185575744964,0.9950377990265455
PhysioNet,WESAD,none,coral,8,0.6173093747514572,0.613023197175996,0.7947689545862542
PhysioNet,WESAD,none,mmd,8,0.7298098008248781,0.710453842685048,0.8102155363412225
PhysioNet,WESAD,none,dann,8,0.7112812879915467,0.7259834048419724,0.8556463249747197
PhysioNet,WESAD,none,subject_dann,8,0.8115221614988695,0.793171591217132,0.8967709315669277
PhysioNet,WESAD,none,source_only,9,0.6083163850794769,0.6040360168582244,0.7290968379671184
PhysioNet,WESAD,none,finetune_k5 (uses target labels),9,0.9638665469985157,0.9553217415260074,0.988358245020539
PhysioNet,WESAD,none,coral,9,0.6165140376989763,0.6142112082762068,0.7426033654119278
PhysioNet,WESAD,none,mmd,9,0.8020519695954007,0.778720822864996,0.8633270085101064
PhysioNet,WESAD,none,dann,9,0.7084294365605082,0.6543583873674079,0.8269460193380523
PhysioNet,WESAD,none,subject_dann,9,0.7405837773965209,0.6773073297578417,0.8653778419097178
WESAD,PhysioNet,subject_zscore,source_only,0,0.5330383550068072,0.42733192838563916,0.7081357682737899
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),0,0.8879310344827587,0.5947879407256004,0.9827586206896551
WESAD,PhysioNet,subject_zscore,coral,0,0.5848669076569175,0.5120666959192628,0.7051429510351627
WESAD,PhysioNet,subject_zscore,mmd,0,0.5262781090089668,0.48681434599156115,0.5457724989437115
WESAD,PhysioNet,subject_zscore,dann,0,0.6054175860288249,0.5868433179723502,0.657058354067884
WESAD,PhysioNet,subject_zscore,subject_dann,0,0.5568400544575373,0.4637827715355805,0.6948969531946858
WESAD,PhysioNet,subject_zscore,source_only,1,0.5386484202619596,0.4396287551492013,0.7066100183089996
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),1,0.7126436781609196,0.5324476239141542,0.8448275862068966
WESAD,PhysioNet,subject_zscore,coral,1,0.5919088305713347,0.5325924727122332,0.7065161260034739
WESAD,PhysioNet,subject_zscore,mmd,1,0.5907117036758838,0.5693167852382683,0.6293131777850806
WESAD,PhysioNet,subject_zscore,dann,1,0.6024130322520069,0.5473014888337469,0.6882071264259892
WESAD,PhysioNet,subject_zscore,subject_dann,1,0.5617811370358199,0.48411317981381674,0.7085817567250363
WESAD,PhysioNet,subject_zscore,source_only,2,0.5512534622787663,0.46014041726833643,0.7087695413360875
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),2,0.9224137931034483,0.6579439252336449,1.0
WESAD,PhysioNet,subject_zscore,coral,2,0.592624759400967,0.5373520710059172,0.7080536125064549
WESAD,PhysioNet,subject_zscore,mmd,2,0.5514881930425801,0.5195852534562212,0.6116379512698935
WESAD,PhysioNet,subject_zscore,dann,2,0.580113609689686,0.5405766526019691,0.6698042345429792
WESAD,PhysioNet,subject_zscore,subject_dann,2,0.550607952678278,0.47648822583004236,0.6751795690343175
WESAD,PhysioNet,subject_zscore,source_only,3,0.5568635275339185,0.4716266248014389,0.7019858222618656
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),3,0.8793103448275862,0.5813725490196079,0.9827586206896551
WESAD,PhysioNet,subject_zscore,coral,3,0.5778954039716445,0.5104212055192447,0.6940988685977185
WESAD,PhysioNet,subject_zscore,mmd,3,0.5563353833153373,0.5154804938735271,0.5934463170743157
WESAD,PhysioNet,subject_zscore,dann,3,0.6089268109478428,0.5919295417913883,0.6605558424487114
WESAD,PhysioNet,subject_zscore,subject_dann,3,0.5287662551053941,0.3897078213174411,0.6816816111919628
WESAD,PhysioNet,subject_zscore,source_only,4,0.5449509412703629,0.44996092895320855,0.7107412797521243
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),4,0.9482758620689655,0.7227272727272727,1.0
WESAD,PhysioNet,subject_zscore,coral,4,0.5947255997371016,0.5402699561991597,0.7125721797098727
WESAD,PhysioNet,subject_zscore,mmd,4,0.5822848692549646,0.5556224806560719,0.6453804985681424
WESAD,PhysioNet,subject_zscore,dann,4,0.5814046288906625,0.5175937530126289,0.6986174358011361
WESAD,PhysioNet,subject_zscore,subject_dann,4,0.6172832261396178,0.5958929395477619,0.7003427069151684
WESAD,PhysioNet,subject_zscore,source_only,5,0.5540467583681518,0.4619623144864211,0.6980658185061733
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),5,0.8793103448275862,0.5813725490196079,0.9827586206896551
WESAD,PhysioNet,subject_zscore,coral,5,0.5981878785033566,0.5356766679707484,0.7043566029763861
WESAD,PhysioNet,subject_zscore,mmd,5,0.5256091263320971,0.4920709852259813,0.5406436317543777
WESAD,PhysioNet,subject_zscore,dann,5,0.563166048542322,0.4814454567840433,0.6876907187455987
WESAD,PhysioNet,subject_zscore,subject_dann,5,0.547720764283367,0.44316606861460767,0.6765410074644382
WESAD,PhysioNet,subject_zscore,source_only,6,0.5323224261771747,0.4199760093920678,0.713065114313882
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),6,0.7557471264367817,0.5965608465608465,0.8448275862068966
WESAD,PhysioNet,subject_zscore,coral,6,0.5785643866485142,0.5026149187998898,0.7101544528425896
WESAD,PhysioNet,subject_zscore,mmd,6,0.5850077461152059,0.545464135021097,0.6447115158912726
WESAD,PhysioNet,subject_zscore,dann,6,0.573024740622506,0.511601088334044,0.6733721421529506
WESAD,PhysioNet,subject_zscore,subject_dann,6,0.5835289423031782,0.5264988525530694,0.7268438101497582
WESAD,PhysioNet,subject_zscore,source_only,7,0.5526618468616497,0.4650035637918746,0.7017745645744331
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),7,0.9137931034482758,0.6403301886792453,0.9827586206896551
WESAD,PhysioNet,subject_zscore,coral,7,0.5730012675461246,0.5053740014524328,0.707243791371297
WESAD,PhysioNet,subject_zscore,mmd,7,0.5361368010891507,0.509533990370409,0.5885639171869865
WESAD,PhysioNet,subject_zscore,dann,7,0.5660767100136144,0.5151162790697674,0.6638890192948688
WESAD,PhysioNet,subject_zscore,subject_dann,7,0.5337542838364396,0.43439164071134334,0.698699591568471
WESAD,PhysioNet,subject_zscore,source_only,8,0.5358551241725741,0.4378609183078457,0.7119384066475752
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),8,0.9137931034482758,0.6403301886792453,0.9885057471264368
WESAD,PhysioNet,subject_zscore,coral,8,0.5778954039716445,0.5104212055192447,0.7126073893244449
WESAD,PhysioNet,subject_zscore,mmd,8,0.6081639359654476,0.5826743412489515,0.6731139383127553
WESAD,PhysioNet,subject_zscore,dann,8,0.5842448711328107,0.5311903303135391,0.6750387305760291
WESAD,PhysioNet,subject_zscore,subject_dann,8,0.6053236937232993,0.5729646697388633,0.681024365053284
WESAD,PhysioNet,subject_zscore,source_only,9,0.5337542838364396,0.43439164071134334,0.7108586451340312
