task,normalisation,modality,n_classes,n_windows,n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high
within_WESAD,none,all_modalities,4,1398,20.0,0.6944261752845311,0.0441040293538913,0.673784854165743,0.7150674964033192,0.5882385103404368,0.04207814756317482,0.5685453310854078,0.6079316895954658,0.5718396967631207,0.040855111886736566,0.5527189158242303,0.5909604777020112
within_WESAD,none,acc_only,4,1398,20.0,0.6371606764516401,0.0813486126287761,0.5990883537990994,0.6752329991041808,0.5473261074305176,0.07124671275432344,0.5139816194514324,0.5806705954096028,0.5401610984526746,0.06845308646690446,0.5081240678222548,0.5721981290830943
within_WESAD,none,all_except_acc,4,1398,20.0,0.5988782345259913,0.0766985373567798,0.562982214091682,0.6347742549603006,0.5278048266677517,0.06955352418708083,0.4952527753309216,0.5603568780045819,0.5104435908429439,0.07056887846787792,0.4774163390750806,0.5434708426108072
within_WESAD,none,physiology_only,4,1398,20.0,0.5719428288784115,0.07273403726296807,0.5379022516022592,0.6059834061545638,0.5082873583161479,0.0669292317078932,0.476963513666237,0.5396112029660588,0.4873821076847043,0.06483225453285925,0.45703967856264305,0.5177245368067656
within_PhysioNet_stress_session,none,all_modalities,3,1670,20.0,0.716378070303981,0.05044208596845494,0.692770447380872,0.7399856932270901,0.44187979263422406,0.0496122202248328,0.4186605588345246,0.46509902643392353,0.4369789686104709,0.050521125609772455,0.41333435399654705,0.4606235832243948
within_PhysioNet_stress_session,none,acc_only,3,1670,20.0,0.7011311937867657,0.02853819822309685,0.687774905885089,0.7144874816884423,0.37947798323666787,0.02819848204250747,0.36628068740160097,0.3926752790717348,0.3716916514014422,0.030220329677248296,0.3575481017457306,0.38583520105715385
within_PhysioNet_stress_session,none,all_except_acc,3,1670,20.0,0.69662376900677,0.06110547993614133,0.6680255240854526,0.7252220139280875,0.4449289416866006,0.05130272309653023,0.4209185281888525,0.46893935518434865,0.4443711444113613,0.055383443332606995,0.41845089505455996,0.4702913937681626
within_PhysioNet_stress_session,none,physiology_only,3,1670,20.0,0.6871837815770914,0.05679918169564718,0.6606009462706659,0.7137666168835168,0.43539073862740585,0.04171288965757143,0.41586850533425795,0.45491297192055374,0.43691242172358846,0.0467315163043851,0.41504139885928887,0.45878344458788806
within_EPM_emotions,none,all_modalities,4,855,20.0,0.3573432092769109,0.056224654152464644,0.33102926113757986,0.3836571574162419,0.2411634633773188,0.041768329548393865,0.22161528341657566,0.26071164333806196,0.23104409102357995,0.043949648627123604,0.21047502230899268,0.2516131597381672
within_EPM_emotions,none,acc_only,4,855,20.0,0.3791011474713132,0.04827567543187439,0.3565074358895438,0.40169485905308255,0.2656082663989291,0.03601922396650316,0.24875075067453997,0.2824657821233182,0.2596116113175944,0.03460059374468609,0.24341803497439837,0.27580518766079043
