task,normalisation,modality,subject,accuracy
shared_Baseline_vs_Stress_pooled,none,physiology_only,WESAD:S6,0.896551724137931
shared_Baseline_vs_Stress_pooled,none,physiology_only,WESAD:S7,0.9827586206896551
shared_Baseline_vs_Stress_pooled,none,physiology_only,WESAD:S8,1.0
shared_Baseline_vs_Stress_pooled,none,physiology_only,WESAD:S9,0.9482758620689655
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S01,0.5833333333333334
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S02,0.2
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S03,0.5
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S04,1.0
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S05,0.8181818181818182
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S06,0.8181818181818182
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S07,0.6666666666666666
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S08,0.5
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S09,0.5
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S10,0.5
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S11,0.3333333333333333
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S12,0.7
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S13,0.6
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S14,0.7272727272727273
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S15,0.2727272727272727
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S16,0.36363636363636365
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S17,0.7
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:S18,0.5454545454545454
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f01,0.2631578947368421
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f02,0.25
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f03,0.5
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f04,0.9166666666666666
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f05,0.6666666666666666
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f06,1.0
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f07,0.4166666666666667
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f08,1.0
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f09,0.4166666666666667
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f10,0.5833333333333334
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f11,0.46153846153846156
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f12,0.5
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f14,0.5833333333333334
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f15,0.6923076923076923
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f16,0.5
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f17,0.4166666666666667
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,PhysioNet:f18,0.5454545454545454
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,WESAD:S10,1.0
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,WESAD:S11,0.9830508474576272
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,WESAD:S13,0.9830508474576272
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,WESAD:S14,0.847457627118644
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,WESAD:S15,0.9830508474576272
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,WESAD:S16,1.0
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,WESAD:S17,0.8032786885245902
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,WESAD:S2,0.9285714285714286
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,WESAD:S3,0.8947368421052632
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,WESAD:S4,1.0
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,WESAD:S5,0.9482758620689655
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,WESAD:S6,1.0
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,WESAD:S7,0.9827586206896551
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,WESAD:S8,1.0
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,WESAD:S9,1.0
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S01,0.8333333333333334
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S02,0.3
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S03,0.6
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S04,0.4
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S05,0.6363636363636364
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S06,0.5454545454545454
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S07,0.3333333333333333
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S08,0.6
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S09,0.6
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S10,0.1
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S11,0.5833333333333334
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S12,0.5
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S13,0.6
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S14,0.8181818181818182
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S15,0.36363636363636365
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S16,0.18181818181818182
shared_Baseline_vs_Stress_pooled,subject_zscore,acc_only,PhysioNet:S17,0.6
