task,normalisation,modality,model,n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high
within_WESAD,none,physiology_only,mlp,20.0,0.5723469803049029,0.05287027843640217,0.5476029283252343,0.5970910322845716,0.47702132594318325,0.053589748794232527,0.4519405514710579,0.5021021004153086,0.4523728535902857,0.04938038547702656,0.42926212179246825,0.4754835853881031
within_WESAD,none,acc_only,xgboost,20.0,0.6171169218183383,0.07359191372185409,0.5826748460004989,0.6515589976361778,0.5557734382612287,0.07142756516598729,0.522344308748049,0.5892025677744084,0.5538441132098199,0.06949606913536255,0.5213189516649155,0.5863692747547242
within_WESAD,none,acc_only,random_forest,20.0,0.6087539205567781,0.06879299237942585,0.5765578090624711,0.6409500320510851,0.5444515465340611,0.07035178834351802,0.5115258960718897,0.5773771969962326,0.5427789490265387,0.06818145719160389,0.510869044810165,0.5746888532429123
within_WESAD,none,acc_only,mlp,20.0,0.6493522156336975,0.06674331898591516,0.618115380816009,0.680589050451386,0.5544482479931803,0.05162239526163559,0.5302882233168315,0.5786082726695291,0.5393761484009004,0.052907263392858166,0.5146147869287896,0.5641375098730113
within_PhysioNet_stress_session,none,all_modalities,xgboost,20.0,0.6091974106257595,0.08415780062293844,0.569810347521609,0.64858447372991,0.498761427302899,0.04417741304691811,0.478085761558578,0.51943709304722,0.46236221863809257,0.046695241267600746,0.44050817301360146,0.4842162642625837
within_PhysioNet_stress_session,none,all_modalities,random_forest,20.0,0.5850759186702568,0.09542110183530593,0.5404174683348714,0.6297343690056422,0.49598232031002654,0.05418548050322509,0.4706227348157315,0.5213419058043216,0.4508847425147483,0.056415695686073346,0.4244813841854639,0.4772881008440327
within_PhysioNet_stress_session,none,all_modalities,mlp,20.0,0.6890031129920875,0.07817928761324222,0.6524140801054438,0.7255921458787312,0.44880613270246716,0.04693877552713732,0.42683810953605617,0.47077415586887816,0.44484586375218954,0.057915881580025017,0.4177403968122278,0.4719513306921513
within_PhysioNet_stress_session,none,physiology_only,xgboost,20.0,0.5647816093615898,0.0848516019471213,0.5250698372425285,0.6044933814806511,0.4766972770109388,0.04783406547945078,0.45431024524892205,0.4990843087729555,0.43457414434694047,0.04333382413523581,0.4142932903663829,0.45485499832749804
within_PhysioNet_stress_session,none,physiology_only,random_forest,20.0,0.5547948261109731,0.08289476819391656,0.5159988803793804,0.5935907718425658,0.47999216001770834,0.04874046333257975,0.45718092100247915,0.5028033990329375,0.4350768831971056,0.05035933278075706,0.41150798995801635,0.4586457764361948
within_PhysioNet_stress_session,none,physiology_only,mlp,20.0,0.7136348302458364,0.0666158776927916,0.6824576397893026,0.7448120207023702,0.4330338990709902,0.04612738283556451,0.4114456193734991,0.4546221787684813,0.42998664325697844,0.049020104407611155,0.4070445281900078,0.4529287583239491
