condition,probe,dataset,label,kind,n_subjects,n_windows,rate,lo,hi,subj_median,subj_q1,subj_q3,mean_score
3_added_negative,EPM-E4 emotions,Stress-Predict,Stress,stress_recall,33,3547,0.625,0.561,0.686,0.64,0.519,0.75,0.584
3_added_negative,EPM-E4 emotions,UBFC-Phys,Baseline,false_stress_core,19,400,0.072,0.01,0.184,0.0,0.0,0.029,0.167
3_added_negative,EPM-E4 emotions,UBFC-Phys,Stress,stress_recall,11,500,0.706,0.59,0.82,0.7,0.617,0.747,0.602
3_added_negative,EPM-E4 emotions,WESAD,Amusement,false_stress_core,15,660,0.261,0.141,0.373,0.218,0.0,0.436,0.324
3_added_negative,EPM-E4 emotions,WESAD,Baseline,false_stress_core,15,2263,0.065,0.04,0.09,0.079,0.02,0.1,0.204
3_added_negative,EPM-E4 emotions,WESAD,Meditation,false_stress_core,15,1423,0.069,0.023,0.129,0.021,0.0,0.08,0.215
3_added_negative,EPM-E4 emotions,WESAD,Stress,stress_recall,15,1247,0.949,0.889,0.997,1.0,0.992,1.0,0.853
3_added_negative,PhysioNet Aerobic,Campanella2024,Baseline,false_stress_core,29,480,0.169,0.047,0.308,0.0,0.0,0.062,0.262
3_added_negative,PhysioNet Aerobic,Campanella2024,Stress,stress_recall,29,420,0.936,0.865,0.989,1.0,1.0,1.0,0.806
3_added_negative,PhysioNet Aerobic,PhysioNet,Aerobic,false_stress_probed,30,8412,0.099,0.05,0.154,0.018,0.0,0.19,0.126
3_added_negative,PhysioNet Aerobic,PhysioNet,Baseline,false_stress_core,35,667,0.271,0.152,0.414,0.05,0.0,0.548,0.314
3_added_negative,PhysioNet Aerobic,PhysioNet,Rest,false_stress_core,35,4525,0.3,0.244,0.358,0.229,0.183,0.408,0.361
3_added_negative,PhysioNet Aerobic,PhysioNet,Stress,stress_recall,35,884,0.739,0.613,0.84,0.833,0.519,0.99,0.671
3_added_negative,PhysioNet Aerobic,Stress-Predict,Baseline,false_stress_core,34,2577,0.241,0.149,0.34,0.112,0.002,0.416,0.315
3_added_negative,PhysioNet Aerobic,Stress-Predict,Rest,false_stress_core,34,4513,0.353,0.292,0.424,0.32,0.27,0.504,0.408
3_added_negative,PhysioNet Aerobic,Stress-Predict,Stress,stress_recall,33,3547,0.708,0.645,0.769,0.72,0.58,0.9,0.632
3_added_negative,PhysioNet Aerobic,UBFC-Phys,Baseline,false_stress_core,19,400,0.12,0.031,0.249,0.0,0.0,0.129,0.223
3_added_negative,PhysioNet Aerobic,UBFC-Phys,Stress,stress_recall,11,500,0.798,0.683,0.9,0.867,0.675,0.945,0.663
3_added_negative,PhysioNet Aerobic,WESAD,Amusement,false_stress_core,15,660,0.348,0.197,0.496,0.309,0.0,0.544,0.378
3_added_negative,PhysioNet Aerobic,WESAD,Baseline,false_stress_core,15,2263,0.135,0.081,0.19,0.118,0.046,0.221,0.259
3_added_negative,PhysioNet Aerobic,WESAD,Meditation,false_stress_core,15,1423,0.142,0.064,0.227,0.062,0.0,0.283,0.266
3_added_negative,PhysioNet Aerobic,WESAD,Stress,stress_recall,15,1247,0.955,0.918,0.984,0.975,0.963,1.0,0.844
3_added_negative,PhysioNet Anaerobic,Campanella2024,Baseline,false_stress_core,29,480,0.169,0.049,0.296,0.0,0.0,0.0,0.256
3_added_negative,PhysioNet Anaerobic,Campanella2024,Stress,stress_recall,29,420,0.917,0.84,0.98,1.0,1.0,1.0,0.796
3_added_negative,PhysioNet Anaerobic,PhysioNet,Anaerobic,false_stress_probed,31,6519,0.081,0.045,0.112,0.017,0.0,0.116,0.102
3_added_negative,PhysioNet Anaerobic,PhysioNet,Baseline,false_stress_core,35,667,0.255,0.127,0.39,0.0,0.0,0.496,0.306
3_added_negative,PhysioNet Anaerobic,PhysioNet,Rest,false_stress_core,35,4525,0.277,0.221,0.332,0.222,0.172,0.383,0.348
3_added_negative,PhysioNet Anaerobic,PhysioNet,Stress,stress_recall,35,884,0.753,0.627,0.853,0.857,0.581,1.0,0.685
3_added_negative,PhysioNet Anaerobic,Stress-Predict,Baseline,false_stress_core,34,2577,0.229,0.133,0.325,0.112,0.0,0.433,0.309
3_added_negative,PhysioNet Anaerobic,Stress-Predict,Rest,false_stress_core,34,4513,0.329,0.266,0.402,0.315,0.212,0.478,0.392
3_added_negative,PhysioNet Anaerobic,Stress-Predict,Stress,stress_recall,33,3547,0.697,0.631,0.758,0.711,0.58,0.901,0.628
3_added_negative,PhysioNet Anaerobic,UBFC-Phys,Baseline,false_stress_core,19,400,0.122,0.029,0.249,0.0,0.0,0.142,0.215
3_added_negative,PhysioNet Anaerobic,UBFC-Phys,Stress,stress_recall,11,500,0.788,0.674,0.894,0.833,0.683,0.933,0.655
3_added_negative,PhysioNet Anaerobic,WESAD,Amusement,false_stress_core,15,660,0.333,0.173,0.493,0.255,0.0,0.503,0.362
3_added_negative,PhysioNet Anaerobic,WESAD,Baseline,false_stress_core,15,2263,0.118,0.073,0.174,0.096,0.044,0.205,0.248
3_added_negative,PhysioNet Anaerobic,WESAD,Meditation,false_stress_core,15,1423,0.106,0.048,0.17,0.042,0.0,0.193,0.251
3_added_negative,PhysioNet Anaerobic,WESAD,Stress,stress_recall,15,1247,0.958,0.907,0.994,1.0,0.977,1.0,0.843
3_added_negative,Stress-Predict Hyperventilation,Campanella2024,Baseline,false_stress_core,29,480,0.125,0.026,0.254,0.0,0.0,0.0,0.218
3_added_negative,Stress-Predict Hyperventilation,Campanella2024,Stress,stress_recall,29,420,0.919,0.838,0.983,1.0,1.0,1.0,0.779
3_added_negative,Stress-Predict Hyperventilation,PhysioNet,Baseline,false_stress_core,35,667,0.201,0.098,0.321,0.0,0.0,0.316,0.282
3_added_negative,Stress-Predict Hyperventilation,PhysioNet,Rest,false_stress_core,35,4525,0.215,0.169,0.263,0.182,0.125,0.303,0.299
3_added_negative,Stress-Predict Hyperventilation,PhysioNet,Stress,stress_recall,35,884,0.739,0.612,0.852,0.857,0.61,1.0,0.681
3_added_negative,Stress-Predict Hyperventilation,Stress-Predict,Baseline,false_stress_core,34,2577,0.173,0.094,0.254,0.055,0.0,0.282,0.266
3_added_negative,Stress-Predict Hyperventilation,Stress-Predict,Hyperventilation,false_stress_probed,31,212,0.547,0.362,0.723,0.5,0.0,1.0,0.53
3_added_negative,Stress-Predict Hyperventilation,Stress-Predict,Rest,false_stress_core,34,4513,0.247,0.195,0.31,0.236,0.177,0.401,0.341
3_added_negative,Stress-Predict Hyperventilation,Stress-Predict,Stress,stress_recall,33,3547,0.624,0.559,0.685,0.641,0.475,0.772,0.586
3_added_negative,Stress-Predict Hyperventilation,UBFC-Phys,Baseline,false_stress_core,19,400,0.098,0.02,0.226,0.0,0.0,0.083,0.17
3_added_negative,Stress-Predict Hyperventilation,UBFC-Phys,Stress,stress_recall,11,500,0.738,0.628,0.846,0.733,0.625,0.825,0.613
3_added_negative,Stress-Predict Hyperventilation,WESAD,Amusement,false_stress_core,15,660,0.208,0.127,0.302,0.2,0.0,0.333,0.306
3_added_negative,Stress-Predict Hyperventilation,WESAD,Baseline,false_stress_core,15,2263,0.059,0.033,0.088,0.066,0.007,0.12,0.197
3_added_negative,Stress-Predict Hyperventilation,WESAD,Meditation,false_stress_core,15,1423,0.044,0.02,0.073,0.021,0.0,0.07,0.197
3_added_negative,Stress-Predict Hyperventilation,WESAD,Stress,stress_recall,15,1247,0.949,0.887,0.996,1.0,0.984,1.0,0.852
3_added_negative,UBFC ctrl Control task,Campanella2024,Baseline,false_stress_core,29,480,0.127,0.027,0.25,0.0,0.0,0.0,0.225
3_added_negative,UBFC ctrl Control task,Campanella2024,Stress,stress_recall,29,420,0.917,0.839,0.98,1.0,0.958,1.0,0.779
3_added_negative,UBFC ctrl Control task,PhysioNet,Baseline,false_stress_core,35,667,0.201,0.099,0.316,0.0,0.0,0.299,0.278
3_added_negative,UBFC ctrl Control task,PhysioNet,Rest,false_stress_core,35,4525,0.213,0.167,0.258,0.181,0.104,0.296,0.298
3_added_negative,UBFC ctrl Control task,PhysioNet,Stress,stress_recall,35,884,0.727,0.598,0.828,0.833,0.583,1.0,0.674
3_added_negative,UBFC ctrl Control task,Stress-Predict,Baseline,false_stress_core,34,2577,0.174,0.093,0.255,0.042,0.0,0.297,0.266
3_added_negative,UBFC ctrl Control task,Stress-Predict,Rest,false_stress_core,34,4513,0.247,0.194,0.315,0.232,0.173,0.391,0.34
3_added_negative,UBFC ctrl Control task,Stress-Predict,Stress,stress_recall,33,3547,0.626,0.566,0.689,0.64,0.494,0.772,0.586
3_added_negative,UBFC ctrl Control task,UBFC-Phys,Baseline,false_stress_core,19,400,0.092,0.015,0.212,0.0,0.0,0.046,0.17
3_added_negative,UBFC ctrl Control task,UBFC-Phys,Control task,false_stress_probed,8,300,0.563,0.448,0.673,0.563,0.46,0.581,0.548
3_added_negative,UBFC ctrl Control task,UBFC-Phys,Stress,stress_recall,11,500,0.73,0.612,0.849,0.7,0.6,0.825,0.607
3_added_negative,UBFC ctrl Control task,WESAD,Amusement,false_stress_core,15,660,0.236,0.135,0.348,0.218,0.0,0.356,0.312
3_added_negative,UBFC ctrl Control task,WESAD,Baseline,false_stress_core,15,2263,0.055,0.029,0.084,0.061,0.005,0.1,0.196
3_added_negative,UBFC ctrl Control task,WESAD,Meditation,false_stress_core,15,1423,0.049,0.016,0.088,0.01,0.0,0.081,0.198
3_added_negative,UBFC ctrl Control task,WESAD,Stress,stress_recall,15,1247,0.951,0.885,0.997,1.0,0.992,1.0,0.852
