features,test_dataset,trained_on,split,balanced_accuracy,auroc,exercise_called_stress
physiology,WESAD,within_dataset,7,0.8046875,0.9493807603686636,
physiology,WESAD,other_datasets_only,7,0.7223142281105991,0.8204205069124425,
physiology,WESAD,all_datasets,7,0.734843029953917,0.8573588709677419,
physiology,WESAD,within_dataset,8,0.8399184105159779,0.957014429251341,
physiology,WESAD,other_datasets_only,8,0.8648107577245598,0.9374480622497546,
physiology,WESAD,all_datasets,8,0.8832439374480623,0.959582987081665,
physiology,WESAD,within_dataset,9,0.9861111111111112,0.9989969135802469,
physiology,WESAD,other_datasets_only,9,0.8203703703703704,0.9327932098765431,
physiology,WESAD,all_datasets,9,0.9013888888888888,0.9762345679012346,
physiology,WESAD,within_dataset,10,0.9732334869431644,0.9946236559139785,
physiology,WESAD,other_datasets_only,10,0.7695852534562212,0.9533794162826421,
physiology,WESAD,all_datasets,10,0.847926267281106,0.9865591397849462,
physiology,WESAD,within_dataset,11,0.8547667050691244,0.9601814516129032,
physiology,WESAD,other_datasets_only,11,0.7333309331797235,0.8169642857142857,
physiology,WESAD,all_datasets,11,0.7674971198156681,0.8873847926267281,
physiology,WESAD,within_dataset,12,0.8361928394186459,0.9333569656150302,
physiology,WESAD,other_datasets_only,12,0.6888691953208083,0.8386387805742644,
physiology,WESAD,all_datasets,12,0.7233959588798299,0.8643034384969869,
physiology,WESAD,within_dataset,13,0.8940092165898618,0.9513155938754274,
physiology,WESAD,other_datasets_only,13,0.8214285714285714,0.9210643674743572,
physiology,WESAD,all_datasets,13,0.8605990783410138,0.9591199643228779,
physiology,WESAD,within_dataset,14,0.9792626728110598,0.9988283995938452,
physiology,WESAD,other_datasets_only,14,0.815668202764977,0.9694602827462314,
physiology,WESAD,all_datasets,14,0.8847926267281105,0.9925798640943528,
physiology,WESAD,within_dataset,15,0.7962033152211294,0.9546048559048077,
physiology,WESAD,other_datasets_only,15,0.7323749914024348,0.8059701492537312,
physiology,WESAD,all_datasets,15,0.7475067061008323,0.850264805007222,
physiology,WESAD,within_dataset,16,0.8613322161709258,0.9655774333193687,
physiology,WESAD,other_datasets_only,16,0.7241307080016757,0.8269794721407625,
physiology,WESAD,all_datasets,16,0.7606479541963413,0.892403295629102,
physiology,WESAD,within_dataset,17,0.873015873015873,0.9747207524985302,
physiology,WESAD,other_datasets_only,17,0.7741402116402116,0.8900646678424455,
physiology,WESAD,all_datasets,17,0.8095238095238095,0.9301881246325692,
physiology,WESAD,within_dataset,18,0.9207364341085271,0.9761240310077519,
physiology,WESAD,other_datasets_only,18,0.8242248062015504,0.9013953488372093,
physiology,WESAD,all_datasets,18,0.8777131782945736,0.9537984496124031,
physiology,WESAD,within_dataset,19,0.9169653524492234,0.9716995221027478,
physiology,WESAD,other_datasets_only,19,0.7998058542413381,0.9448924731182795,
physiology,WESAD,all_datasets,19,0.8669354838709677,0.9793160095579451,
hr_hrv_eda,Campanella2024,within_dataset,0,1.0,1.0,
hr_hrv_eda,Campanella2024,other_datasets_only,0,0.9375,1.0,
hr_hrv_eda,Campanella2024,all_datasets,0,0.9375,1.0,
hr_hrv_eda,Campanella2024,within_dataset,1,0.893939393939394,0.9261363636363636,
hr_hrv_eda,Campanella2024,other_datasets_only,1,0.7462121212121212,0.8465909090909092,
hr_hrv_eda,Campanella2024,all_datasets,1,0.7897727272727273,0.893939393939394,
hr_hrv_eda,Campanella2024,within_dataset,2,0.8125,0.921875,
hr_hrv_eda,Campanella2024,other_datasets_only,2,0.6875,0.8333333333333334,
hr_hrv_eda,Campanella2024,all_datasets,2,0.6666666666666667,0.8472222222222222,
hr_hrv_eda,Campanella2024,within_dataset,3,0.8125,0.9943181818181818,
hr_hrv_eda,Campanella2024,other_datasets_only,3,0.7462121212121212,0.8750000000000001,
hr_hrv_eda,Campanella2024,all_datasets,3,0.7234848484848485,0.8768939393939393,
hr_hrv_eda,Campanella2024,within_dataset,4,0.9166666666666667,0.9114583333333334,
hr_hrv_eda,Campanella2024,other_datasets_only,4,0.875,0.8993055555555556,
hr_hrv_eda,Campanella2024,all_datasets,4,0.9166666666666667,0.9079861111111112,
hr_hrv_eda,Campanella2024,within_dataset,5,0.8114035087719298,0.8870614035087719,
hr_hrv_eda,Campanella2024,other_datasets_only,5,0.7543859649122806,0.8442982456140351,
hr_hrv_eda,Campanella2024,all_datasets,5,0.7752192982456141,0.8552631578947368,
hr_hrv_eda,Campanella2024,within_dataset,6,0.9473684210526316,1.0,
hr_hrv_eda,Campanella2024,other_datasets_only,6,0.9528508771929824,0.9978070175438597,
hr_hrv_eda,Campanella2024,all_datasets,6,0.9791666666666667,1.0,
hr_hrv_eda,Campanella2024,within_dataset,7,0.8928571428571428,0.9821428571428571,
hr_hrv_eda,Campanella2024,other_datasets_only,7,0.8928571428571428,0.9900793650793651,
hr_hrv_eda,Campanella2024,all_datasets,7,0.8928571428571428,0.9920634920634921,
hr_hrv_eda,Campanella2024,within_dataset,8,0.9166666666666667,1.0,
hr_hrv_eda,Campanella2024,other_datasets_only,8,0.8115942028985508,0.967391304347826,
hr_hrv_eda,Campanella2024,all_datasets,8,0.8125,0.9728260869565217,
hr_hrv_eda,Campanella2024,within_dataset,9,0.8125,0.8671875,
hr_hrv_eda,Campanella2024,other_datasets_only,9,0.78125,0.8255208333333334,
hr_hrv_eda,Campanella2024,all_datasets,9,0.8020833333333333,0.8333333333333334,
hr_hrv_eda,Campanella2024,within_dataset,10,0.75,0.7757936507936507,
hr_hrv_eda,Campanella2024,other_datasets_only,10,0.7410714285714286,0.7976190476190476,
hr_hrv_eda,Campanella2024,all_datasets,10,0.7619047619047619,0.7956349206349207,
hr_hrv_eda,Campanella2024,within_dataset,11,0.9375,0.9745370370370371,
hr_hrv_eda,Campanella2024,other_datasets_only,11,0.875,0.9259259259259259,
hr_hrv_eda,Campanella2024,all_datasets,11,0.875,0.8888888888888888,
hr_hrv_eda,Campanella2024,within_dataset,12,0.8125,0.9325396825396824,
hr_hrv_eda,Campanella2024,other_datasets_only,12,0.7648809523809523,0.8630952380952381,
hr_hrv_eda,Campanella2024,all_datasets,12,0.8095238095238095,0.9186507936507937,
hr_hrv_eda,Campanella2024,within_dataset,13,1.0,1.0,
hr_hrv_eda,Campanella2024,other_datasets_only,13,0.8722826086956521,0.9583333333333333,
hr_hrv_eda,Campanella2024,all_datasets,13,0.9157608695652174,0.9909420289855073,
hr_hrv_eda,Campanella2024,within_dataset,14,0.8333333333333333,0.9484126984126984,
hr_hrv_eda,Campanella2024,other_datasets_only,14,0.8541666666666667,0.9166666666666667,
hr_hrv_eda,Campanella2024,all_datasets,14,0.875,0.9186507936507937,
hr_hrv_eda,Campanella2024,within_dataset,15,0.8839285714285714,0.9920634920634921,
hr_hrv_eda,Campanella2024,other_datasets_only,15,0.9583333333333333,1.0,
hr_hrv_eda,Campanella2024,all_datasets,15,0.9583333333333333,1.0,
hr_hrv_eda,Campanella2024,within_dataset,16,0.8214285714285714,0.9503968253968254,
hr_hrv_eda,Campanella2024,other_datasets_only,16,0.9166666666666667,0.9563492063492063,
hr_hrv_eda,Campanella2024,all_datasets,16,0.9166666666666667,0.9583333333333333,
hr_hrv_eda,Campanella2024,within_dataset,17,0.957427536231884,0.9981884057971014,
hr_hrv_eda,Campanella2024,other_datasets_only,17,0.8940217391304348,0.9601449275362319,
hr_hrv_eda,Campanella2024,all_datasets,17,0.9157608695652174,0.9782608695652174,
hr_hrv_eda,Campanella2024,within_dataset,18,1.0,1.0,
