features,test_dataset,trained_on,split,balanced_accuracy,auroc
physiology,PhysioNet,within_dataset,10,0.8395244125510061,0.906289573659772
physiology,PhysioNet,other_datasets_only,10,0.740080202617138,0.7827494019980301
physiology,PhysioNet,all_datasets,10,0.7787040945546644,0.8791332489095258
physiology,PhysioNet,within_dataset,11,0.7872159694202591,0.8777518227507609
physiology,PhysioNet,other_datasets_only,11,0.7077581935301196,0.7707227295250231
physiology,PhysioNet,all_datasets,11,0.759113753804771,0.8265732285694062
physiology,PhysioNet,within_dataset,12,0.828851492019431,0.8977272727272728
physiology,PhysioNet,other_datasets_only,12,0.8344031922276197,0.8615544760582928
physiology,PhysioNet,all_datasets,12,0.8419500346981263,0.8965128383067313
physiology,PhysioNet,within_dataset,13,0.6427966101694915,0.744385593220339
physiology,PhysioNet,other_datasets_only,13,0.6133474576271186,0.5651483050847458
physiology,PhysioNet,all_datasets,13,0.6593220338983051,0.6828389830508474
physiology,PhysioNet,within_dataset,14,0.7579543027973521,0.8635490070467648
physiology,PhysioNet,other_datasets_only,14,0.7460495408925902,0.8023702754644458
physiology,PhysioNet,all_datasets,14,0.766922912662823,0.8604527012598762
physiology,PhysioNet,within_dataset,15,0.7394812436633998,0.8365157147685028
physiology,PhysioNet,other_datasets_only,15,0.7487749239607976,0.8374450827982427
physiology,PhysioNet,all_datasets,15,0.7506336600202772,0.874112875971612
physiology,PhysioNet,within_dataset,16,0.7594930789375234,0.7959221848110737
physiology,PhysioNet,other_datasets_only,16,0.6892536475869809,0.7041713430602319
physiology,PhysioNet,all_datasets,16,0.7026748971193415,0.7744107744107744
physiology,PhysioNet,within_dataset,17,0.7367936117936118,0.8201013513513514
physiology,PhysioNet,other_datasets_only,17,0.6887285012285012,0.74362714987715
physiology,PhysioNet,all_datasets,17,0.7097665847665848,0.8176443488943489
physiology,PhysioNet,within_dataset,18,0.7859620596205963,0.8633062330623306
physiology,PhysioNet,other_datasets_only,18,0.6318157181571815,0.7131707317073172
physiology,PhysioNet,all_datasets,18,0.6562059620596206,0.7790785907859079
physiology,PhysioNet,within_dataset,19,0.76441850410722,0.8521400778210118
physiology,PhysioNet,other_datasets_only,19,0.6899265023778642,0.7080847384349329
physiology,PhysioNet,all_datasets,19,0.6776913099870299,0.7694768698659749
physiology,Stress-Predict,within_dataset,0,0.7665477436064562,0.8409461244232518
physiology,Stress-Predict,other_datasets_only,0,0.7087614277628171,0.7995746213615547
physiology,Stress-Predict,all_datasets,0,0.7596867978250801,0.8371382995145881
physiology,Stress-Predict,within_dataset,1,0.7121281464530892,0.7996033562166285
physiology,Stress-Predict,other_datasets_only,1,0.6606407322654462,0.7366285278413423
physiology,Stress-Predict,all_datasets,1,0.7263157894736842,0.7831426392067123
physiology,Stress-Predict,within_dataset,2,0.6892745734657499,0.7099885408708938
physiology,Stress-Predict,other_datasets_only,2,0.6090129233511586,0.6503851540616247
physiology,Stress-Predict,all_datasets,2,0.674950662083015,0.7045932009167303
physiology,Stress-Predict,within_dataset,3,0.6887890884896873,0.731686626746507
physiology,Stress-Predict,other_datasets_only,3,0.6575515635395874,0.6778443113772457
physiology,Stress-Predict,all_datasets,3,0.681703260146374,0.7128576180971391
physiology,Stress-Predict,within_dataset,4,0.6821588719990934,0.7779126802972172
physiology,Stress-Predict,other_datasets_only,4,0.6591148236284461,0.741246175513574
physiology,Stress-Predict,all_datasets,4,0.6745098991468765,0.7712430997361307
physiology,Stress-Predict,within_dataset,5,0.7538107000843475,0.8286239305940475
physiology,Stress-Predict,other_datasets_only,5,0.6452509338474515,0.748990842270153
physiology,Stress-Predict,all_datasets,5,0.7268270273526931,0.8039824075189782
physiology,Stress-Predict,within_dataset,6,0.7355964618694717,0.8048948123356443
physiology,Stress-Predict,other_datasets_only,6,0.6898756873057614,0.7841262251972269
physiology,Stress-Predict,all_datasets,6,0.7360447047573512,0.8081819268467607
physiology,Stress-Predict,within_dataset,7,0.7659228808386889,0.8359243169497003
physiology,Stress-Predict,other_datasets_only,7,0.7411679172800058,0.810146124295408
physiology,Stress-Predict,all_datasets,7,0.7352978135209851,0.8472695939396115
physiology,Stress-Predict,within_dataset,8,0.7097445038621509,0.7718070228830631
physiology,Stress-Predict,other_datasets_only,8,0.5940828659623495,0.684665884091996
physiology,Stress-Predict,all_datasets,8,0.6784705012825529,0.7405620045505268
physiology,Stress-Predict,within_dataset,9,0.7155355114358861,0.7845746935453789
physiology,Stress-Predict,other_datasets_only,9,0.6921720554076737,0.7613807836421898
physiology,Stress-Predict,all_datasets,9,0.7168071073735609,0.8053949576982419
physiology,Stress-Predict,within_dataset,10,0.6885536823425022,0.7707384403036578
physiology,Stress-Predict,other_datasets_only,10,0.6024844720496895,0.6907621019422262
physiology,Stress-Predict,all_datasets,10,0.6578527062999113,0.7596174701764764
physiology,Stress-Predict,within_dataset,11,0.6502108347627216,0.7034019439679818
physiology,Stress-Predict,other_datasets_only,11,0.592990637507147,0.6375786163522014
physiology,Stress-Predict,all_datasets,11,0.631030231560892,0.6811034877072614
physiology,Stress-Predict,within_dataset,12,0.673856646380264,0.752386235702981
physiology,Stress-Predict,other_datasets_only,12,0.6272495880174256,0.714908058542316
physiology,Stress-Predict,all_datasets,12,0.6795265055719624,0.7519620160224509
physiology,Stress-Predict,within_dataset,13,0.6929196016516881,0.7825327908671362
physiology,Stress-Predict,other_datasets_only,13,0.7114100072868593,0.7773257226135537
physiology,Stress-Predict,all_datasets,13,0.7373390818557202,0.8055774836045664
physiology,Stress-Predict,within_dataset,14,0.7168876951485648,0.8071549810680245
physiology,Stress-Predict,other_datasets_only,14,0.6521179564657826,0.7163188032753252
physiology,Stress-Predict,all_datasets,14,0.6705463227202357,0.7541454497976237
physiology,Stress-Predict,within_dataset,15,0.6393053473263368,0.6701982342162253
physiology,Stress-Predict,other_datasets_only,15,0.5899800099950026,0.5958354156255206
physiology,Stress-Predict,all_datasets,15,0.6230384807596202,0.6518907213060137
physiology,Stress-Predict,within_dataset,16,0.7332464900853959,0.7922792217190828
physiology,Stress-Predict,other_datasets_only,16,0.644159791576205,0.7145958687426337
physiology,Stress-Predict,all_datasets,16,0.6959038934722825,0.7610776833529765
physiology,Stress-Predict,within_dataset,17,0.67994147994148,0.746030646030646
physiology,Stress-Predict,other_datasets_only,17,0.6218680218680219,0.6847154847154848
physiology,Stress-Predict,all_datasets,17,0.6510125510125511,0.7267421267421268
physiology,Stress-Predict,within_dataset,18,0.7481828857995303,0.819859709261728
physiology,Stress-Predict,other_datasets_only,18,0.7001444169364566,0.7647114835269472
physiology,Stress-Predict,all_datasets,18,0.7102615374849235,0.8064495651621915
physiology,Stress-Predict,within_dataset,19,0.6392054705307717,0.7196352979485511
physiology,Stress-Predict,other_datasets_only,19,0.6376994464343861,0.6876628134158254
physiology,Stress-Predict,all_datasets,19,0.6545099316183653,0.7115353305112342
physiology,UBFC-Phys,within_dataset,0,0.825,0.9349999999999999
physiology,UBFC-Phys,other_datasets_only,0,0.525,1.0
physiology,UBFC-Phys,all_datasets,0,0.925,1.0
physiology,UBFC-Phys,within_dataset,1,0.75,0.975
physiology,UBFC-Phys,other_datasets_only,1,0.5,0.835
physiology,UBFC-Phys,all_datasets,1,0.85,0.99
physiology,UBFC-Phys,within_dataset,2,0.8875,0.94875
physiology,UBFC-Phys,other_datasets_only,2,0.5375,0.9800000000000001
physiology,UBFC-Phys,all_datasets,2,0.9375,0.99125
physiology,UBFC-Phys,within_dataset,3,0.875,0.9700000000000001
physiology,UBFC-Phys,other_datasets_only,3,0.75,0.905
physiology,UBFC-Phys,all_datasets,3,0.875,0.995
physiology,UBFC-Phys,within_dataset,4,0.9333333333333333,0.9816666666666667
physiology,UBFC-Phys,other_datasets_only,4,0.5166666666666667,0.9966666666666667
physiology,UBFC-Phys,all_datasets,4,0.9833333333333334,0.9983333333333333
physiology,UBFC-Phys,within_dataset,5,0.9375,0.985
physiology,UBFC-Phys,other_datasets_only,5,0.5375,0.9675
physiology,UBFC-Phys,all_datasets,5,0.9875,0.99375
physiology,UBFC-Phys,within_dataset,6,0.625,0.71
physiology,UBFC-Phys,other_datasets_only,6,0.7,0.79
physiology,UBFC-Phys,all_datasets,6,0.6,0.71
physiology,UBFC-Phys,within_dataset,7,0.85,0.9400000000000001
physiology,UBFC-Phys,other_datasets_only,7,0.525,1.0
physiology,UBFC-Phys,all_datasets,7,0.95,1.0
physiology,UBFC-Phys,within_dataset,8,0.8416666666666667,0.9508333333333333
physiology,UBFC-Phys,other_datasets_only,8,0.5666666666666667,0.9233333333333333
physiology,UBFC-Phys,all_datasets,8,0.875,0.9433333333333334
physiology,UBFC-Phys,within_dataset,9,0.9,0.96
physiology,UBFC-Phys,other_datasets_only,9,0.575,0.9974999999999999
physiology,UBFC-Phys,all_datasets,9,0.975,0.9937499999999999
physiology,UBFC-Phys,within_dataset,10,0.875,0.9275
physiology,UBFC-Phys,other_datasets_only,10,0.5,0.78
physiology,UBFC-Phys,all_datasets,10,0.825,0.8925000000000001
physiology,UBFC-Phys,within_dataset,11,0.875,0.9275
physiology,UBFC-Phys,other_datasets_only,11,0.5,0.78
physiology,UBFC-Phys,all_datasets,11,0.825,0.9099999999999999
physiology,UBFC-Phys,within_dataset,12,0.925,0.9550000000000001
physiology,UBFC-Phys,other_datasets_only,12,0.65,0.9974999999999999
physiology,UBFC-Phys,all_datasets,12,0.95,1.0
physiology,UBFC-Phys,within_dataset,13,0.9,0.955
physiology,UBFC-Phys,other_datasets_only,13,0.5333333333333333,0.98
physiology,UBFC-Phys,all_datasets,13,0.9416666666666667,0.995
physiology,UBFC-Phys,within_dataset,14,0.9,1.0
physiology,UBFC-Phys,other_datasets_only,14,0.5,1.0
physiology,UBFC-Phys,all_datasets,14,0.925,1.0
physiology,UBFC-Phys,within_dataset,15,1.0,1.0
physiology,UBFC-Phys,other_datasets_only,15,0.5,0.98
physiology,UBFC-Phys,all_datasets,15,0.95,1.0
physiology,UBFC-Phys,within_dataset,16,1.0,1.0
physiology,UBFC-Phys,other_datasets_only,16,0.75,1.0
physiology,UBFC-Phys,all_datasets,16,1.0,1.0
physiology,UBFC-Phys,within_dataset,17,0.975,0.9775
physiology,UBFC-Phys,other_datasets_only,17,0.55,0.9974999999999999
physiology,UBFC-Phys,all_datasets,17,1.0,1.0
physiology,UBFC-Phys,within_dataset,18,0.7250000000000001,0.8925
physiology,UBFC-Phys,other_datasets_only,18,0.6,0.7875
physiology,UBFC-Phys,all_datasets,18,0.7,0.855
physiology,UBFC-Phys,within_dataset,19,1.0,1.0
physiology,UBFC-Phys,other_datasets_only,19,0.75,1.0
physiology,UBFC-Phys,all_datasets,19,1.0,1.0
physiology,WESAD,within_dataset,0,0.8123803211076741,0.9151568714096332
physiology,WESAD,other_datasets_only,0,0.8599941081160701,0.9412284577993815
physiology,WESAD,all_datasets,0,0.9417071733686846,0.9659007217557813
physiology,WESAD,within_dataset,1,0.9833333333333334,0.9993855606758832
physiology,WESAD,other_datasets_only,1,0.8361751152073733,0.977342549923195
physiology,WESAD,all_datasets,1,0.913479262672811,0.9920890937019969
physiology,WESAD,within_dataset,2,0.908727766053663,0.9735453723243894
physiology,WESAD,other_datasets_only,2,0.7830871269219174,0.928248417244498
physiology,WESAD,all_datasets,2,0.8153451914380464,0.9589237262586675
physiology,WESAD,within_dataset,3,0.9839449541284404,0.993960244648318
physiology,WESAD,other_datasets_only,3,0.9618501529051988,0.9910550458715597
physiology,WESAD,all_datasets,3,0.9724770642201834,0.9972477064220184
physiology,WESAD,within_dataset,4,0.9607755071487387,0.9805374653791452
physiology,WESAD,other_datasets_only,4,0.842802604985403,0.9515682311550265
physiology,WESAD,all_datasets,4,0.9261172243431395,0.9776929410884049
physiology,WESAD,within_dataset,5,0.8042626728110599,0.8893241167434716
physiology,WESAD,other_datasets_only,5,0.8743087557603686,0.9430875576036867
physiology,WESAD,all_datasets,5,0.9478878648233486,0.9725806451612904
physiology,WESAD,within_dataset,6,0.7204503506829089,0.914359542266519
physiology,WESAD,other_datasets_only,6,0.7134736064968623,0.8626061277224069
physiology,WESAD,all_datasets,6,0.7134736064968623,0.897452934662237
physiology,WESAD,within_dataset,7,0.6998127880184332,0.7987471198156681
physiology,WESAD,other_datasets_only,7,0.7300547235023042,0.8523905529953917
physiology,WESAD,all_datasets,7,0.7622047811059908,0.8887528801843319
physiology,WESAD,within_dataset,8,0.7448817707939865,0.9220367152678098
physiology,WESAD,other_datasets_only,8,0.8076603459998489,0.8839616227241822
physiology,WESAD,all_datasets,8,0.8660572637304526,0.9203747072599532
physiology,WESAD,within_dataset,9,0.9814814814814814,0.9929783950617285
physiology,WESAD,other_datasets_only,9,0.9046296296296297,0.9678240740740741
physiology,WESAD,all_datasets,9,0.9652777777777778,0.9888117283950617
physiology,WESAD,within_dataset,10,0.9056835637480799,0.9751920122887865
physiology,WESAD,other_datasets_only,10,0.8154377880184331,0.9413210445468511
physiology,WESAD,all_datasets,10,0.904800307219662,0.9659754224270354
physiology,WESAD,within_dataset,11,0.9227750576036866,0.9905673963133641
physiology,WESAD,other_datasets_only,11,0.7862543202764978,0.9449884792626728
