features,test_dataset,trained_on,metric,variant_score,session,diff,t,p,n_splits,p_holm,variant
physiology,PhysioNet,all_datasets,balanced_accuracy,0.7519,0.77,-0.0181,-0.7517,0.4614,20,1.0,baseline
physiology,PhysioNet,all_datasets,auroc,0.8359,0.8318,0.0041,0.125,0.9018,20,1.0,baseline
physiology,Stress-Predict,within_dataset,balanced_accuracy,0.709,0.7125,-0.0035,-0.156,0.8777,20,1.0,baseline
physiology,Stress-Predict,within_dataset,auroc,0.7917,0.7861,0.0056,0.2627,0.7956,20,1.0,baseline
physiology,Stress-Predict,other_datasets_only,balanced_accuracy,0.6216,0.6445,-0.0229,-1.1703,0.2563,20,1.0,baseline
physiology,Stress-Predict,other_datasets_only,auroc,0.7125,0.7061,0.0064,0.3809,0.7075,20,1.0,baseline
physiology,Stress-Predict,all_datasets,balanced_accuracy,0.7031,0.6991,0.004,0.1713,0.8658,20,1.0,baseline
physiology,Stress-Predict,all_datasets,auroc,0.7871,0.7724,0.0147,0.8415,0.4105,20,1.0,baseline
physiology,UBFC-Phys,within_dataset,balanced_accuracy,0.896,0.8767,0.0194,0.4272,0.6741,20,1.0,baseline
physiology,UBFC-Phys,within_dataset,auroc,0.976,0.9518,0.0242,0.7014,0.4916,20,1.0,baseline
physiology,UBFC-Phys,other_datasets_only,balanced_accuracy,0.5544,0.5894,-0.035,-1.3799,0.1836,20,1.0,baseline
physiology,UBFC-Phys,other_datasets_only,auroc,0.9486,0.9311,0.0175,0.4792,0.6372,20,1.0,baseline
physiology,UBFC-Phys,all_datasets,balanced_accuracy,0.9296,0.8667,0.0629,1.2331,0.2326,20,1.0,baseline
physiology,UBFC-Phys,all_datasets,auroc,0.9844,0.9281,0.0563,1.8841,0.0749,20,1.0,baseline
physiology,WESAD,within_dataset,balanced_accuracy,0.8713,0.8997,-0.0284,-0.7175,0.4818,20,1.0,baseline
physiology,WESAD,within_dataset,auroc,0.9665,0.9735,-0.0069,-0.3798,0.7083,20,1.0,baseline
physiology,WESAD,other_datasets_only,balanced_accuracy,0.7206,0.8397,-0.1192,-2.9088,0.009,20,0.4951,baseline
