task,normalisation,modality,n_classes,n_windows,n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high
within_WESAD,none,all_modalities,4,1337,20.0,0.6918421305569596,0.03934955064564654,0.6734259739686468,0.7102582871452725,0.5798634465470694,0.04519579429283217,0.5587111637084328,0.6010157293857061,0.561126990332726,0.03726830939757494,0.543684884631746,0.5785690960337059
within_WESAD,none,acc_only,4,1337,20.0,0.6200631673319512,0.08707280700425919,0.5793118392465366,0.6608144954173658,0.5296831735780346,0.08183958831947083,0.4913810672290469,0.5679852799270224,0.5191844860968396,0.07694044106774867,0.48317525124083044,0.5551937209528488
within_WESAD,none,all_except_acc,4,1337,20.0,0.5701964475377945,0.07972966148309443,0.532881817344723,0.6075110777308661,0.5040439025078631,0.0750240569358649,0.46893156303381006,0.5391562419819163,0.48217662141845546,0.07516030670551664,0.44700051508933397,0.5173527277475769
within_WESAD,none,physiology_only,4,1337,20.0,0.5562793829786175,0.07888364928734946,0.5193606986811615,0.5931980672760734,0.49784267617974115,0.07537207700411701,0.4625674583000229,0.5331178940594594,0.4752273938017838,0.07327748620007615,0.4409324745939113,0.5095223130096563
within_PhysioNet_stress_session,none,all_modalities,3,1643,20.0,0.7224176324523179,0.052846640316594036,0.6976846434532602,0.7471506214513757,0.4256557563387102,0.06043580402437275,0.3973709293917328,0.45394058328568765,0.42161112858134786,0.05952149435688943,0.39375421173068165,0.4494680454320141
within_PhysioNet_stress_session,none,acc_only,3,1643,20.0,0.7103047653464241,0.027567903296209003,0.697402589449007,0.7232069412438411,0.3562037200247429,0.03112918136482251,0.3416348146859474,0.37077262536353833,0.3414673366034438,0.03567510379207116,0.3247708740782286,0.35816379912865903
within_PhysioNet_stress_session,none,all_except_acc,3,1643,20.0,0.7060534118869517,0.0558337307358792,0.6799224215383896,0.7321844022355138,0.434649364589379,0.04758046617131674,0.4123810209570271,0.45691770822173083,0.4352678905652052,0.04961834031090795,0.41204579247705403,0.4584899886533564
within_PhysioNet_stress_session,none,physiology_only,3,1643,20.0,0.6928930738606256,0.057916490821011885,0.665787321787105,0.7199988259341462,0.41995005670316016,0.0445030842532146,0.39912197214253625,0.44077814126378406,0.42223812173770653,0.04901441274183385,0.3992986704523162,0.44517757302309685
within_EPM_emotions,none,all_modalities,4,855,20.0,0.3573432092769109,0.056224654152464644,0.33102926113757986,0.3836571574162419,0.2411634633773188,0.041768329548393865,0.22161528341657566,0.26071164333806196,0.23104409102357995,0.043949648627123604,0.21047502230899268,0.2516131597381672
within_EPM_emotions,none,acc_only,4,855,20.0,0.3791011474713132,0.04827567543187439,0.3565074358895438,0.40169485905308255,0.2656082663989291,0.03601922396650316,0.24875075067453997,0.2824657821233182,0.2596116113175944,0.03460059374468609,0.24341803497439837,0.27580518766079043
within_EPM_emotions,none,all_except_acc,4,855,20.0,0.3876920041284682,0.05809006662280806,0.3605050160791011,0.4148789921778353,0.2481672722636578,0.03053469376278333,0.23387659568705474,0.26245794884026086,0.23429470574340566,0.028836786020983392,0.2207986744507369,0.24779073703607443
within_EPM_emotions,none,physiology_only,4,855,20.0,0.41743367130107456,0.051688596242216014,0.3932426636120949,0.4416246789900542,0.2688382498246956,0.04028877539155409,0.24998252252443198,0.28769397712495925,0.2566679179581546,0.04118435554570215,0.23739304624364588,0.2759427896726633
shared_Baseline_vs_Stress_pooled,none,all_modalities,2,1206,20.0,0.839833821519723,0.032830608955834874,0.8244686235568535,0.8551990194825925,0.8316706004258428,0.03831780819145077,0.8137373141698087,0.849603886681877,0.8290594611057953,0.03562361221859365,0.8123870973787768,0.8457318248328138
shared_Baseline_vs_Stress_pooled,none,acc_only,2,1206,20.0,0.7578949524733256,0.05897556581956196,0.7302935380430045,0.7854963669036468,0.7352935468656303,0.05154653480879428,0.7111690259740887,0.7594180677571719,0.7370447526009813,0.05500508007886373,0.7113015826977918,0.7627879225041709
shared_Baseline_vs_Stress_pooled,none,all_except_acc,2,1206,20.0,0.8167201004534647,0.04604894893079463,0.7951685289533577,0.8382716719535717,0.8074772431014197,0.04226120924809893,0.7876983883405826,0.8272560978622567,0.8053984333282667,0.044274954635647804,0.7846771167151951,0.8261197499413382
shared_Baseline_vs_Stress_pooled,none,physiology_only,2,1206,20.0,0.8125240324902967,0.04625788877587104,0.7908746741326187,0.8341733908479747,0.8015706388385144,0.04689920488627645,0.7796211353020975,0.8235201423749313,0.7999616986176351,0.046832298048327996,0.7780435084452662,0.8218798887900041
legacy_6class_session_labels,subject_zscore,all_modalities,11,7686,20.0,0.4710076320085922,0.05465097106121607,0.44543019022710495,0.49658507379007943,0.33165272832415327,0.03313835332279938,0.31614350156404974,0.3471619550842568,0.3491838557996948,0.03640024004479716,0.3321480190615865,0.3662196925378031
legacy_6class_session_labels,subject_zscore,acc_only,11,7686,20.0,0.43389574740732095,0.057280937054353324,0.407087443652651,0.4607040511619909,0.2819514725914282,0.0399463886238551,0.26325598723101523,0.3006469579518412,0.2894581324416784,0.04338153489452401,0.2691549491384327,0.3097613157449241
legacy_6class_session_labels,subject_zscore,all_except_acc,11,7686,20.0,0.41804939061233437,0.03885528536771081,0.3998645572946886,0.4362342239299801,0.2914062322989036,0.02243171947399086,0.2809078644243056,0.3019046001735016,0.3063828146467118,0.025821981579504716,0.2942977552651938,0.3184678740282298
legacy_6class_session_labels,subject_zscore,physiology_only,11,7686,20.0,0.4131426426420193,0.035256752838628565,0.3966419743899547,0.42964331089408386,0.2820993501202846,0.021333519147356723,0.2721149558196864,0.29208374442088275,0.29409740018733976,0.02360063845122634,0.28305196139145794,0.3051428389832216
harmonized_all_classes,subject_zscore,all_modalities,11,7598,20.0,0.46859791447580335,0.05870949550062243,0.4411210247878666,0.4960748041637401,0.32544130192152443,0.037160263066147003,0.30804976346021357,0.3428328403828353,0.3438275575865243,0.041555593242545624,0.32437894128168665,0.3632761738913619
harmonized_all_classes,subject_zscore,acc_only,11,7598,20.0,0.4356583399566457,0.053794222924300805,0.41048186864590824,0.4608348112673832,0.27923779250531683,0.03856743433837288,0.261187677616304,0.29728790739432964,0.28637592534600664,0.042811881664315675,0.2663393479611621,0.3064125027308512
harmonized_all_classes,subject_zscore,all_except_acc,11,7598,20.0,0.41411937135632637,0.03912887173808953,0.3958064956759432,0.4324322470367095,0.28455543614418743,0.02311509637935681,0.27373723803286354,0.29537363425551133,0.2989908871659582,0.02779447661445692,0.2859826716914908,0.3119991026404256
