model,subject_id,dataset,n_samples,accuracy,precision,recall,f1
XGBoost,S11_b,PhysioNet,8,0.625,1.0,0.625,0.7692307692307693
XGBoost,f07,PhysioNet,154,0.487012987012987,0.6305451610536357,0.487012987012987,0.549500092007606
XGBoost,S16_a,PhysioNet,18,0.4444444444444444,1.0,0.4444444444444444,0.6153846153846154
XGBoost,S16_b,PhysioNet,21,1.0,1.0,1.0,1.0
Random Forest,S2,WESAD,89,0.4044943820224719,0.5490196078431373,0.4044943820224719,0.377048536899533
Random Forest,S3,WESAD,81,0.20987654320987653,0.14814814814814814,0.20987654320987653,0.17369093231162194
Random Forest,S4,WESAD,86,0.36046511627906974,0.6657722122838402,0.36046511627906974,0.4097899474868717
Random Forest,S5,WESAD,86,0.45348837209302323,0.5364756367663344,0.45348837209302323,0.4360535882536101
Random Forest,S6,WESAD,82,0.35365853658536583,0.6742160278745645,0.35365853658536583,0.28536585365853656
Random Forest,S7,WESAD,87,0.6436781609195402,0.6544962812711291,0.6436781609195402,0.6121021645788146
Random Forest,S8,WESAD,86,0.32558139534883723,0.43899224806201553,0.32558139534883723,0.2961845270755076
Random Forest,S9,WESAD,84,0.5119047619047619,0.554364240410752,0.5119047619047619,0.5107824350219967
Random Forest,S10,WESAD,248,0.7137096774193549,0.6961958638698137,0.7137096774193549,0.6882600502068039
Random Forest,S11,WESAD,170,0.45294117647058824,0.6844177574876104,0.45294117647058824,0.49311263899499186
Random Forest,S13,WESAD,245,0.4204081632653061,0.4164234776036019,0.4204081632653061,0.3372354967395307
Random Forest,S14,WESAD,252,0.7142857142857143,0.7416329383442021,0.7142857142857143,0.6824494664855588
Random Forest,S15,WESAD,246,0.7276422764227642,0.6869522710748173,0.7276422764227642,0.7016507402113581
Random Forest,S16,WESAD,211,0.7630331753554502,0.712851016719231,0.7630331753554502,0.7316015787727393
Random Forest,S17,WESAD,245,0.3142857142857143,0.4564102564102564,0.3142857142857143,0.3443562657065743
Random Forest,1,EPM-E4,49,0.0,0.0,0.0,0.0
Random Forest,2,EPM-E4,46,1.0,1.0,1.0,1.0
Random Forest,4,EPM-E4,52,0.5576923076923077,1.0,0.5576923076923077,0.7160493827160492
Random Forest,12,EPM-E4,60,0.9833333333333333,1.0,0.9833333333333333,0.9915966386554622
Random Forest,14,EPM-E4,47,0.9787234042553191,1.0,0.9787234042553191,0.9892473118279569
Random Forest,15,EPM-E4,49,1.0,1.0,1.0,1.0
Random Forest,16,EPM-E4,47,0.574468085106383,1.0,0.574468085106383,0.7297297297297297
Random Forest,24,EPM-E4,54,0.9814814814814815,1.0,0.9814814814814815,0.9906542056074765
Random Forest,25,EPM-E4,62,0.6935483870967742,1.0,0.6935483870967742,0.819047619047619
Random Forest,34,EPM-E4,52,0.7692307692307693,1.0,0.7692307692307693,0.8695652173913044
Random Forest,35,EPM-E4,66,0.9242424242424242,1.0,0.9242424242424242,0.9606299212598425
Random Forest,36,EPM-E4,47,0.9361702127659575,1.0,0.9361702127659575,0.967032967032967
Random Forest,39,EPM-E4,62,0.46774193548387094,1.0,0.46774193548387094,0.6373626373626373
Random Forest,40,EPM-E4,49,0.2653061224489796,1.0,0.2653061224489796,0.4193548387096775
Random Forest,45,EPM-E4,51,0.7843137254901961,1.0,0.7843137254901961,0.8791208791208791
Random Forest,47,EPM-E4,55,1.0,1.0,1.0,1.0
Random Forest,49,EPM-E4,49,0.9591836734693877,1.0,0.9591836734693877,0.9791666666666666
Random Forest,55,EPM-E4,50,0.94,1.0,0.94,0.9690721649484536
Random Forest,56,EPM-E4,50,0.84,1.0,0.84,0.9130434782608695
Random Forest,61,EPM-E4,49,0.8979591836734694,1.0,0.8979591836734694,0.946236559139785
Random Forest,66,EPM-E4,49,0.16326530612244897,1.0,0.16326530612244897,0.2807017543859649
Random Forest,68,EPM-E4,51,0.6862745098039216,1.0,0.6862745098039216,0.813953488372093
Random Forest,72,EPM-E4,68,0.9264705882352942,1.0,0.9264705882352942,0.9618320610687023
Random Forest,76,EPM-E4,55,0.7272727272727273,1.0,0.7272727272727273,0.8421052631578947
Random Forest,77,EPM-E4,53,0.9811320754716981,1.0,0.9811320754716981,0.9904761904761904
Random Forest,78,EPM-E4,70,0.8571428571428571,1.0,0.8571428571428571,0.923076923076923
Random Forest,79,EPM-E4,53,0.9811320754716981,1.0,0.9811320754716981,0.9904761904761904
Random Forest,81,EPM-E4,45,1.0,1.0,1.0,1.0
Random Forest,86,EPM-E4,50,0.76,1.0,0.76,0.8636363636363636
Random Forest,91,EPM-E4,52,0.6730769230769231,1.0,0.6730769230769231,0.8045977011494253
Random Forest,92,EPM-E4,52,0.7307692307692307,1.0,0.7307692307692307,0.8444444444444444
