n,auc_pooled,auc_binned,lo,hi,bins,b_arousal,b_class,b_class_lo,b_class_hi,probe,stress_scope,score,index,n_stress,n_probe,arousal_stress_med,arousal_stress_iqr,arousal_probe_med,arousal_probe_iqr
130,0.541,0.547,0.434,0.634,0.41 0.63 0.52 0.78 0.40,0.663,0.153,-0.207,0.542,UBFC Control task,same_dataset,external,hr_only,110,80,0.272,1.171,0.361,1.256
190,0.583,0.568,0.459,0.664,0.57 0.54 0.75 0.50 0.48,1.042,0.24,-0.008,0.524,UBFC Control task,same_dataset,cond3_added_negative,hr+eda,110,80,0.487,0.827,0.194,1.149
190,0.583,0.573,0.462,0.684,0.66 0.58 0.68 0.56 0.39,0.7,0.186,-0.094,0.522,UBFC Control task,same_dataset,cond3_added_negative,eda_only,110,80,0.593,0.972,0.423,1.464
130,0.545,0.546,0.406,0.678,0.41 0.65 0.56 0.74 0.36,0.608,0.153,-0.212,0.541,UBFC Control task,same_dataset,cond3_added_negative,hr_only,110,80,0.272,1.171,0.361,1.256
190,0.59,0.585,0.452,0.744,0.59 0.50 0.67 0.61 0.55,0.986,0.583,-0.244,1.496,UBFC Control task,same_dataset,within_LOSO,hr+eda,110,80,0.487,0.827,0.194,1.149
190,0.59,0.553,0.431,0.68,0.65 0.44 0.68 0.46 0.53,1.129,0.476,-0.308,1.368,UBFC Control task,same_dataset,within_LOSO,eda_only,110,80,0.593,0.972,0.423,1.464
130,0.559,0.567,0.414,0.721,0.40 0.52 0.49 0.82 0.61,-0.183,0.506,-0.552,1.729,UBFC Control task,same_dataset,within_LOSO,hr_only,110,80,0.272,1.171,0.361,1.256
1686,0.61,0.576,0.425,0.635,0.33 0.46 0.54 0.66 0.89,1.641,-0.195,-0.459,0.087,UBFC Control task,pooled_stress,external,hr+eda,1606,80,0.714,1.297,0.194,1.149
1686,0.61,0.572,0.455,0.669,0.32 0.49 0.68 0.71 0.66,1.323,0.102,-0.215,0.417,UBFC Control task,pooled_stress,external,eda_only,1606,80,0.683,1.776,0.423,1.464
1030,0.542,0.422,0.361,0.534,0.40 0.43 0.56 0.44 0.28,0.851,-0.338,-0.798,0.089,UBFC Control task,pooled_stress,external,hr_only,1606,80,0.672,1.432,0.361,1.256
1686,0.648,0.638,0.475,0.712,0.43 0.60 0.56 0.62 0.97,1.443,0.096,-0.121,0.323,UBFC Control task,pooled_stress,cond3_added_negative,hr+eda,1606,80,0.714,1.297,0.194,1.149
1686,0.648,0.631,0.476,0.729,0.49 0.61 0.69 0.68 0.70,1.108,0.373,0.094,0.625,UBFC Control task,pooled_stress,cond3_added_negative,eda_only,1606,80,0.683,1.776,0.423,1.464
1030,0.607,0.457,0.375,0.598,0.44 0.52 0.62 0.49 0.21,0.787,0.084,-0.346,0.518,UBFC Control task,pooled_stress,cond3_added_negative,hr_only,1606,80,0.672,1.432,0.361,1.256
1686,0.293,0.321,0.125,0.401,0.22 0.11 0.19 0.27 0.81,1.871,-2.455,-3.303,-1.504,UBFC Control task,pooled_stress,within_LOSO,hr+eda,1606,80,0.714,1.297,0.194,1.149
1686,0.293,0.278,0.184,0.354,0.32 0.06 0.13 0.38 0.49,1.566,-2.133,-2.82,-1.493,UBFC Control task,pooled_stress,within_LOSO,eda_only,1606,80,0.683,1.776,0.423,1.464
1030,0.249,0.252,0.168,0.368,0.17 0.22 0.31 0.21 0.35,0.68,-2.119,-3.109,-0.878,UBFC Control task,pooled_stress,within_LOSO,hr_only,1606,80,0.672,1.432,0.361,1.256
769,0.754,0.355,0.251,0.537,0.03 0.42 0.65 0.33 0.35,1.438,-0.732,-1.045,-0.49,Campanella Manual task,same_dataset,external,hr+eda,102,667,1.418,1.01,-0.273,0.915
769,0.754,0.439,0.294,0.539,na 0.29 0.68 0.44 0.35,1.281,-0.923,-1.309,-0.567,Campanella Manual task,same_dataset,external,eda_only,102,667,1.759,0.725,-0.29,0.948
259,0.753,0.683,0.573,0.782,0.71 0.71 0.77 0.71 0.52,0.88,0.797,0.365,1.286,Campanella Manual task,same_dataset,external,hr_only,102,667,0.48,1.382,-0.22,1.304
769,0.858,0.496,0.423,0.692,0.04 0.53 0.83 0.58 0.50,1.442,-0.128,-0.313,0.055,Campanella Manual task,same_dataset,cond3_added_negative,hr+eda,102,667,1.418,1.01,-0.273,0.915
769,0.858,0.553,0.393,0.65,na 0.39 0.83 0.54 0.45,1.306,-0.355,-0.589,-0.095,Campanella Manual task,same_dataset,cond3_added_negative,eda_only,102,667,1.759,0.725,-0.29,0.948
259,0.838,0.794,0.662,0.873,0.77 0.87 0.84 0.80 0.69,0.862,1.381,1.07,1.698,Campanella Manual task,same_dataset,cond3_added_negative,hr_only,102,667,0.48,1.382,-0.22,1.304
769,0.86,0.412,0.281,0.838,0.00 0.07 0.62 0.78 0.59,2.807,0.737,-0.297,1.681,Campanella Manual task,same_dataset,within_LOSO,hr+eda,102,667,1.418,1.01,-0.273,0.915
769,0.86,0.289,0.235,0.605,na 0.04 0.09 0.57 0.44,2.985,-0.456,-1.19,0.278,Campanella Manual task,same_dataset,within_LOSO,eda_only,102,667,1.759,0.725,-0.29,0.948
259,0.842,0.819,0.672,0.914,0.73 0.92 0.72 0.90 0.82,0.599,3.566,2.36,4.522,Campanella Manual task,same_dataset,within_LOSO,hr_only,102,667,0.48,1.382,-0.22,1.304
2273,0.644,0.392,0.337,0.443,0.32 0.37 0.37 0.46 0.45,1.63,-0.559,-0.804,-0.291,Campanella Manual task,pooled_stress,external,hr+eda,1606,667,0.714,1.297,-0.273,0.915
2273,0.644,0.462,0.413,0.509,0.30 0.51 0.49 0.52 0.49,1.347,-0.248,-0.485,0.031,Campanella Manual task,pooled_stress,external,eda_only,1606,667,0.683,1.776,-0.29,0.948
1169,0.621,0.497,0.431,0.555,0.51 0.50 0.51 0.58 0.39,0.859,0.017,-0.349,0.377,Campanella Manual task,pooled_stress,external,hr_only,1606,667,0.672,1.432,-0.22,1.304
2273,0.746,0.511,0.471,0.557,0.49 0.55 0.56 0.48 0.47,1.422,0.101,-0.027,0.245,Campanella Manual task,pooled_stress,cond3_added_negative,hr+eda,1606,667,0.714,1.297,-0.273,0.915
2273,0.746,0.591,0.556,0.63,0.56 0.74 0.62 0.51 0.52,1.124,0.412,0.277,0.574,Campanella Manual task,pooled_stress,cond3_added_negative,eda_only,1606,667,0.683,1.776,-0.29,0.948
1169,0.739,0.628,0.563,0.687,0.61 0.69 0.65 0.70 0.49,0.774,0.682,0.415,0.925,Campanella Manual task,pooled_stress,cond3_added_negative,hr_only,1606,667,0.672,1.432,-0.22,1.304
2273,0.766,0.581,0.532,0.626,0.68 0.71 0.65 0.45 0.41,2.114,0.933,0.613,1.313,Campanella Manual task,pooled_stress,within_LOSO,hr+eda,1606,667,0.714,1.297,-0.273,0.915
2273,0.766,0.617,0.574,0.66,0.80 0.77 0.75 0.43 0.35,1.851,1.254,0.945,1.58,Campanella Manual task,pooled_stress,within_LOSO,eda_only,1606,667,0.683,1.776,-0.29,0.948
1169,0.638,0.578,0.48,0.646,0.51 0.57 0.62 0.66 0.52,0.692,0.644,0.107,1.202,Campanella Manual task,pooled_stress,within_LOSO,hr_only,1606,667,0.672,1.432,-0.22,1.304
2000,0.716,0.633,0.576,0.686,0.53 0.49 0.56 0.70 0.87,1.628,0.308,0.014,0.596,EPM Fear,pooled_stress,external,hr+eda,1606,394,0.714,1.297,0.029,1.146
2000,0.716,0.674,0.616,0.725,0.51 0.50 0.67 0.73 0.95,1.253,0.655,0.319,1.012,EPM Fear,pooled_stress,external,eda_only,1606,394,0.683,1.776,0.034,1.45
1353,0.656,0.592,0.521,0.659,0.63 0.51 0.55 0.56 0.70,0.872,0.411,0.011,0.85,EPM Fear,pooled_stress,external,hr_only,1606,394,0.672,1.432,0.029,1.423
2000,0.804,0.779,0.737,0.822,0.75 0.71 0.71 0.78 0.95,1.44,0.903,0.677,1.123,EPM Fear,pooled_stress,cond3_added_negative,hr+eda,1606,394,0.714,1.297,0.029,1.146
