dataset,model,split,ba,auroc,n_test,n_test_matched,ba_matched,auroc_matched
PhysioNet,std_external,12,0.7263185287994449,0.7639659958362248,306,114,0.6879870129870129,0.7542207792207791
PhysioNet,std+time_within,12,0.9202810548230396,0.9825641915336571,306,114,0.8574675324675325,0.9402597402597402
PhysioNet,std+time_external,12,0.5442401110340042,0.5381679389312979,306,114,0.48311688311688317,0.47077922077922074
PhysioNet,time_only_within,13,0.6917372881355932,0.7516949152542373,276,121,0.4853395061728395,0.492283950617284
PhysioNet,std_within,13,0.6364406779661017,0.7470338983050847,276,121,0.6382716049382716,0.7731481481481481
PhysioNet,std_external,13,0.6101694915254237,0.573199152542373,276,121,0.6388888888888888,0.5947530864197531
PhysioNet,std+time_within,13,0.688771186440678,0.8184322033898305,276,121,0.5955246913580247,0.6432098765432099
PhysioNet,std+time_external,13,0.47817796610169494,0.4942796610169492,276,121,0.5020061728395062,0.4802469135802469
PhysioNet,time_only_within,14,0.8269805680119582,0.9266495836002563,265,110,0.6372549019607843,0.7857142857142858
PhysioNet,std_within,14,0.815235959854794,0.9207772795216742,265,110,0.8175770308123249,0.9215686274509804
PhysioNet,std_external,14,0.8052530429212044,0.8861840700405723,265,110,0.796218487394958,0.8480392156862745
PhysioNet,std+time_within,14,0.8994234465086484,0.9793935511424301,265,110,0.8476890756302521,0.9471288515406162
PhysioNet,std+time_external,14,0.558723040785821,0.6526799060431347,265,110,0.4733893557422969,0.5196078431372549
PhysioNet,time_only_within,15,0.8616086515714768,0.9099780331192969,313,112,0.6530748663101604,0.8008021390374332
PhysioNet,std_within,15,0.7529148360932747,0.8405711388982764,313,112,0.7479946524064172,0.8225267379679145
PhysioNet,std_external,15,0.8110003379520108,0.8873774923960798,313,112,0.7406417112299466,0.821524064171123
PhysioNet,std+time_within,15,0.8130280500168976,0.9165258533288273,313,112,0.7526737967914439,0.8241978609625669
PhysioNet,std+time_external,15,0.5622676579925651,0.654950996958432,313,112,0.4117647058823529,0.4231283422459893
PhysioNet,time_only_within,16,0.7019734380845493,0.8071922933034045,287,124,0.4732954545454545,0.5619318181818183
PhysioNet,std_within,16,0.762532734754957,0.8470819304152638,287,124,0.7454545454545455,0.8477272727272728
PhysioNet,std_external,16,0.6791526374859709,0.7199775533108865,287,124,0.7153409090909091,0.7485795454545455
PhysioNet,std+time_within,16,0.7698746726524504,0.8843995510662177,287,124,0.6482954545454545,0.7338068181818181
PhysioNet,std+time_external,16,0.5699120838009727,0.5800598578376356,287,124,0.6011363636363636,0.5980113636363636
PhysioNet,time_only_within,17,0.9063267813267813,0.9684812653562654,340,116,0.6925505050505051,0.8792613636363636
PhysioNet,std_within,17,0.7443181818181819,0.7823249385749386,340,116,0.7651515151515151,0.7743055555555555
PhysioNet,std_external,17,0.6939496314496314,0.7545300982800982,340,116,0.6603535353535352,0.7228535353535355
PhysioNet,std+time_within,17,0.8412162162162162,0.953009828009828,340,116,0.75,0.8557449494949496
PhysioNet,std+time_external,17,0.4699017199017199,0.5267199017199017,340,116,0.35353535353535354,0.3718434343434343
PhysioNet,time_only_within,18,0.7880216802168022,0.8558265582655826,266,109,0.6181850789096126,0.7157460545193687
PhysioNet,std_within,18,0.808130081300813,0.8830352303523035,266,109,0.8267575322812052,0.9024390243902438
PhysioNet,std_external,18,0.7270460704607047,0.7895934959349593,266,109,0.7263271162123386,0.770803443328551
PhysioNet,std+time_within,18,0.8591327913279133,0.9155555555555556,266,109,0.8240674318507891,0.860832137733142
PhysioNet,std+time_external,18,0.5506233062330623,0.5916531165311654,266,109,0.5062769010043041,0.5269010043041606
PhysioNet,time_only_within,19,0.7466061392131431,0.8197578901859057,302,129,0.5341269841269841,0.5961640211640211
PhysioNet,std_within,19,0.7938607868568959,0.8815391266753134,302,129,0.790873015873016,0.9074074074074074
PhysioNet,std_external,19,0.7115866839602248,0.7781236489407696,302,129,0.7126984126984127,0.7753968253968254
PhysioNet,std+time_within,19,0.8199740596627756,0.9005620406398617,302,129,0.7297619047619047,0.7764550264550265
PhysioNet,std+time_external,19,0.5640726329442283,0.6143536532641591,302,129,0.5428571428571429,0.5735449735449736
Stress-Predict,time_only_within,0,0.9794600435670057,0.9974700262431175,510,219,0.9478512188992209,0.9891304347826088
Stress-Predict,std_within,0,0.725545016380508,0.7770106859230546,510,219,0.6910655943704448,0.7300201055541593
Stress-Predict,std_external,0,0.6620383869916469,0.71620555393561,510,219,0.6680698668007037,0.7463558683086202
Stress-Predict,std+time_within,0,0.9825045882574913,0.9982161540968422,510,219,0.9558306107062076,0.98969590349334
Stress-Predict,std+time_external,0,0.5734635769540831,0.6354264935421348,510,219,0.6501633576275445,0.814149283739633
Stress-Predict,time_only_within,1,0.9670861937452326,0.9905797101449275,535,246,0.9369360902255639,0.9724154135338345
Stress-Predict,std_within,1,0.6672006102212051,0.7479023646071701,535,246,0.6608082706766917,0.7023496240601503
Stress-Predict,std_external,1,0.7028985507246377,0.7560488176964149,535,246,0.7017857142857142,0.781578947368421
Stress-Predict,std+time_within,1,0.9627383676582761,0.9872921434019832,535,246,0.9280075187969925,0.9736842105263158
Stress-Predict,std+time_external,1,0.595766590389016,0.6503890160183066,535,246,0.6863721804511278,0.8384398496240602
Stress-Predict,time_only_within,2,0.9648905016552075,0.9967452890247008,523,244,0.9332488976451825,0.9914626137536354
Stress-Predict,std_within,2,0.6424035523300229,0.7003358161446397,523,244,0.6136598179941833,0.644901022610001
Stress-Predict,std_external,2,0.6272679526355996,0.6365864527629235,523,244,0.6597710854676799,0.6828501735622479
Stress-Predict,std+time_within,2,0.9577762923351159,0.994079449961803,523,244,0.9172061168965193,0.984613941270288
Stress-Predict,std+time_external,2,0.5300324675324675,0.5220906544435956,523,244,0.6555023923444976,0.7684585796040905
Stress-Predict,time_only_within,3,0.9536094477711244,0.994186626746507,514,235,0.9078282828282829,0.9826767676767677
Stress-Predict,std_within,3,0.6846972721224218,0.7578759148369927,514,235,0.6297979797979798,0.6965151515151515
Stress-Predict,std_external,3,0.6913506320691949,0.7214071856287425,514,235,0.692929292929293,0.7193939393939395
Stress-Predict,std+time_within,3,0.9598137059214904,0.9948935462408517,514,235,0.9232323232323232,0.9802020202020202
Stress-Predict,std+time_external,3,0.6075848303393214,0.6312707917498338,514,235,0.706060606060606,0.7558585858585858
