features,subset,split,n,ba,auroc
wrist_hr5 only,all,5,277,0.8716589861751152,0.9136712749615975
wrist_hr5 only,cov>=0.5,5,219,0.7632389162561577,0.9279556650246306
wrist_hr5 only,cov<0.5,5,58,0.5,0.5
eda only,all,5,277,0.95284178187404,0.9890168970814132
eda only,cov>=0.5,5,219,0.9564347290640394,0.9833743842364531
eda only,cov<0.5,5,58,0.9301948051948052,0.9837662337662337
ecg_hr3+wrist_hr5+eda,all,5,277,0.9861751152073732,0.9960829493087557
ecg_hr3+wrist_hr5+eda,cov>=0.5,5,219,0.9876847290640394,0.9926108374384236
ecg_hr3+wrist_hr5+eda,cov<0.5,5,58,0.9642857142857143,0.9853896103896104
wrist_hr5+eda (current),all,6,278,0.7647840531561462,0.9329641934293097
wrist_hr5+eda (current),cov>=0.5,6,169,0.7041125541125541,0.8766233766233766
wrist_hr5+eda (current),cov<0.5,6,109,0.8020833333333333,0.9760928961748634
wrist_hr3+eda,all,6,278,0.7760059062384643,0.9264673311184939
wrist_hr3+eda,cov>=0.5,6,169,0.6976190476190476,0.8735930735930736
wrist_hr3+eda,cov<0.5,6,109,0.8229166666666667,0.9757513661202186
ecg_hr3+eda,all,6,278,0.8399040236249538,0.9811738648947951
ecg_hr3+eda,cov>=0.5,6,169,0.8203463203463204,0.9558441558441559
ecg_hr3+eda,cov<0.5,6,109,0.8541666666666667,1.0
ecg_hr3 only,all,6,278,0.9920634920634921,0.9997785160575858
ecg_hr3 only,cov>=0.5,6,169,0.9666666666666667,0.9987012987012988
ecg_hr3 only,cov<0.5,6,109,1.0,1.0
wrist_hr3 only,all,6,278,0.7835732742709487,0.8085640457733481
wrist_hr3 only,cov>=0.5,6,169,0.7846320346320346,0.9038961038961039
wrist_hr3 only,cov<0.5,6,109,0.5,0.5
wrist_hr5 only,all,6,278,0.7891842008121077,0.8043558508674787
wrist_hr5 only,cov>=0.5,6,169,0.8147186147186147,0.9264069264069263
wrist_hr5 only,cov<0.5,6,109,0.5,0.5
eda only,all,6,278,0.7186784791435954,0.8984496124031008
eda only,cov>=0.5,6,169,0.6619047619047619,0.8231601731601731
eda only,cov<0.5,6,109,0.78125,0.9803620218579236
ecg_hr3+wrist_hr5+eda,all,6,278,0.8478405315614618,0.9804355850867479
ecg_hr3+wrist_hr5+eda,cov>=0.5,6,169,0.8203463203463204,0.9497835497835497
ecg_hr3+wrist_hr5+eda,cov<0.5,6,109,0.8645833333333333,1.0
wrist_hr5+eda (current),all,7,281,0.859375,0.9598214285714286
wrist_hr5+eda (current),cov>=0.5,7,186,0.775,0.9325301204819276
wrist_hr5+eda (current),cov<0.5,7,95,0.8977272727272727,0.9786096256684492
wrist_hr3+eda,all,7,281,0.8648833525345623,0.9582373271889401
wrist_hr3+eda,cov>=0.5,7,186,0.7969879518072289,0.9271084337349398
wrist_hr3+eda,cov<0.5,7,95,0.8977272727272727,0.9790552584670232
ecg_hr3+eda,all,7,281,0.9765625,0.9952476958525346
ecg_hr3+eda,cov>=0.5,7,186,0.975,0.983433734939759
ecg_hr3+eda,cov<0.5,7,95,0.9772727272727273,1.0
ecg_hr3 only,all,7,281,0.984375,0.9997119815668203
ecg_hr3 only,cov>=0.5,7,186,0.975,0.9987951807228916
ecg_hr3 only,cov<0.5,7,95,0.9886363636363636,1.0
wrist_hr3 only,all,7,281,0.7960469470046083,0.8523185483870968
wrist_hr3 only,cov>=0.5,7,186,0.7539156626506025,0.9484939759036144
wrist_hr3 only,cov<0.5,7,95,0.5,0.5
wrist_hr5 only,all,7,281,0.7960469470046083,0.8495823732718892
wrist_hr5 only,cov>=0.5,7,186,0.7539156626506025,0.9614457831325302
wrist_hr5 only,cov<0.5,7,95,0.5,0.5
eda only,all,7,281,0.8276209677419355,0.9146025345622121
eda only,cov>=0.5,7,186,0.7289156626506024,0.8370481927710843
eda only,cov<0.5,7,95,0.8863636363636364,0.9759358288770054
ecg_hr3+wrist_hr5+eda,all,7,281,0.9609375,0.9912154377880185
ecg_hr3+wrist_hr5+eda,cov>=0.5,7,186,0.925,0.9786144578313253
ecg_hr3+wrist_hr5+eda,cov<0.5,7,95,0.9772727272727273,1.0
wrist_hr5+eda (current),all,8,278,0.933406360957921,0.9784694417164009
wrist_hr5+eda (current),cov>=0.5,8,217,0.9670163170163171,0.9867132867132867
wrist_hr5+eda (current),cov<0.5,8,61,0.9230769230769231,0.9393939393939394
wrist_hr3+eda,all,8,278,0.9311022134924831,0.9776384377124726
wrist_hr3+eda,cov>=0.5,8,217,0.9644522144522145,0.9857808857808859
wrist_hr3+eda,cov<0.5,8,61,0.9230769230769231,0.9347319347319347
ecg_hr3+eda,all,8,278,0.9544080985117473,0.9969026214399032
ecg_hr3+eda,cov>=0.5,8,217,0.9721445221445222,0.9955710955710956
ecg_hr3+eda,cov<0.5,8,61,0.9487179487179487,1.0
ecg_hr3 only,all,8,278,0.9533882299614717,0.9911611392309436
ecg_hr3 only,cov>=0.5,8,217,0.961888111888112,0.9904428904428906
ecg_hr3 only,cov<0.5,8,61,0.9615384615384616,1.0
wrist_hr3 only,all,8,278,0.8140817405756591,0.8944624915010955
wrist_hr3 only,cov>=0.5,8,217,0.6862470862470862,0.9097902097902097
wrist_hr3 only,cov<0.5,8,61,0.5,0.5
wrist_hr5 only,all,8,278,0.8527611996675983,0.9146332250509934
wrist_hr5 only,cov>=0.5,8,217,0.7973193473193473,0.9344988344988344
wrist_hr5 only,cov<0.5,8,61,0.5,0.5
eda only,all,8,278,0.880902017073355,0.8971065951499585
eda only,cov>=0.5,8,217,0.8860139860139861,0.9286713286713288
eda only,cov<0.5,8,61,0.8974358974358974,0.8846153846153847
ecg_hr3+wrist_hr5+eda,all,8,278,0.9789982624461736,0.9978847170809096
ecg_hr3+wrist_hr5+eda,cov>=0.5,8,217,0.9721445221445222,0.9974358974358974
ecg_hr3+wrist_hr5+eda,cov<0.5,8,61,0.9871794871794872,0.9999999999999999
wrist_hr5+eda (current),all,9,276,0.9837962962962963,0.9989969135802469
wrist_hr5+eda (current),cov>=0.5,9,233,0.9904761904761905,0.9977225672877846
wrist_hr5+eda (current),cov<0.5,9,43,0.75,1.0
wrist_hr3+eda,all,9,276,0.9837962962962963,0.9991512345679011
wrist_hr3+eda,cov>=0.5,9,233,0.9904761904761905,0.9979296066252589
wrist_hr3+eda,cov<0.5,9,43,0.75,1.0
ecg_hr3+eda,all,9,276,0.9884259259259259,0.9984567901234568
ecg_hr3+eda,cov>=0.5,9,233,0.9904761904761905,0.9997929606625259
ecg_hr3+eda,cov<0.5,9,43,0.9166666666666667,0.954954954954955
ecg_hr3 only,all,9,276,0.8425925925925926,0.9288580246913581
ecg_hr3 only,cov>=0.5,9,233,0.9473084886128365,0.9803312629399585
ecg_hr3 only,cov<0.5,9,43,0.7274774774774775,0.8243243243243243
wrist_hr3 only,all,9,276,0.8944444444444444,0.9300925925925926
wrist_hr3 only,cov>=0.5,9,233,0.8267080745341615,0.920703933747412
wrist_hr3 only,cov<0.5,9,43,0.5,0.5
wrist_hr5 only,all,9,276,0.9333333333333333,0.9555555555555556
wrist_hr5 only,cov>=0.5,9,233,0.9062111801242236,0.9648033126293996
wrist_hr5 only,cov<0.5,9,43,0.5,0.5
eda only,all,9,276,0.9884259259259259,0.998996913580247
eda only,cov>=0.5,9,233,0.9880952380952381,0.9993788819875776
eda only,cov<0.5,9,43,1.0,1.0
ecg_hr3+wrist_hr5+eda,all,9,276,0.9884259259259259,0.9985339506172839
ecg_hr3+wrist_hr5+eda,cov>=0.5,9,233,0.9904761904761905,1.0
ecg_hr3+wrist_hr5+eda,cov<0.5,9,43,0.9166666666666667,0.9369369369369369
wrist_hr5+eda (current),all,10,277,0.966321044546851,0.9914746543778802
wrist_hr5+eda (current),cov>=0.5,10,163,0.8114583333333334,0.9708333333333333
wrist_hr5+eda (current),cov<0.5,10,114,0.9649122807017544,0.9916897506925209
wrist_hr3+eda,all,10,277,0.9556835637480798,0.9897081413210446
wrist_hr3+eda,cov>=0.5,10,163,0.8114583333333334,0.96875
wrist_hr3+eda,cov<0.5,10,114,0.9473684210526315,0.9907663896583564
ecg_hr3+eda,all,10,277,0.988479262672811,0.9989247311827957
ecg_hr3+eda,cov>=0.5,10,163,0.9875,1.0
ecg_hr3+eda,cov<0.5,10,114,0.9912280701754386,0.9969221298861188
ecg_hr3 only,all,10,277,0.9269585253456221,0.9718894009216589
ecg_hr3 only,cov>=0.5,10,163,0.971875,0.9958333333333333
ecg_hr3 only,cov<0.5,10,114,0.9385964912280702,0.966451215758695
wrist_hr3 only,all,10,277,0.7981182795698925,0.7978110599078341
wrist_hr3 only,cov>=0.5,10,163,0.7489583333333334,0.91875
wrist_hr3 only,cov<0.5,10,114,0.5,0.5
wrist_hr5 only,all,10,277,0.8133640552995391,0.8084101382488479
wrist_hr5 only,cov>=0.5,10,163,0.925,0.96875
wrist_hr5 only,cov<0.5,10,114,0.5,0.5
eda only,all,10,277,0.9602918586789555,0.987941628264209
eda only,cov>=0.5,10,163,0.971875,0.9854166666666666
eda only,cov<0.5,10,114,0.9736842105263157,0.9956909818405663
ecg_hr3+wrist_hr5+eda,all,10,277,0.988479262672811,0.9987711213517665
ecg_hr3+wrist_hr5+eda,cov>=0.5,10,163,0.9875,0.9979166666666667
ecg_hr3+wrist_hr5+eda,cov<0.5,10,114,0.9912280701754386,0.9959987688519544
wrist_hr5+eda (current),all,11,281,0.8915250576036866,0.9668058755760369
wrist_hr5+eda (current),cov>=0.5,11,225,0.9125,0.958
wrist_hr5+eda (current),cov<0.5,11,56,0.8846153846153846,0.9683257918552036
wrist_hr3+eda,all,11,281,0.8814084101382489,0.9619095622119815
wrist_hr3+eda,cov>=0.5,11,225,0.89,0.9538
wrist_hr3+eda,cov<0.5,11,56,0.8846153846153846,0.9668174962292609
ecg_hr3+eda,all,11,281,0.9641417050691244,0.9899193548387097
ecg_hr3+eda,cov>=0.5,11,225,0.9550000000000001,0.9773999999999999
ecg_hr3+eda,cov<0.5,11,56,0.9743589743589743,1.0
ecg_hr3 only,all,11,281,0.9673459101382489,0.9983438940092166
ecg_hr3 only,cov>=0.5,11,225,0.97,0.9974
ecg_hr3 only,cov<0.5,11,56,0.9743589743589743,1.0
wrist_hr3 only,all,11,281,0.8532546082949308,0.920326900921659
wrist_hr3 only,cov>=0.5,11,225,0.745,0.9252
wrist_hr3 only,cov<0.5,11,56,0.5,0.5
wrist_hr5 only,all,11,281,0.8789962557603687,0.9438004032258065
wrist_hr5 only,cov>=0.5,11,225,0.8075,0.9724
wrist_hr5 only,cov<0.5,11,56,0.5,0.5
eda only,all,11,281,0.8340293778801844,0.9196428571428572
eda only,cov>=0.5,11,225,0.8325,0.8924
eda only,cov<0.5,11,56,0.858974358974359,0.9577677224736049
ecg_hr3+wrist_hr5+eda,all,11,281,0.9641417050691244,0.9882632488479263
ecg_hr3+wrist_hr5+eda,cov>=0.5,11,225,0.935,0.9736
ecg_hr3+wrist_hr5+eda,cov<0.5,11,56,0.9871794871794872,1.0
wrist_hr5+eda (current),all,12,282,0.813151364764268,0.9069833392414037
wrist_hr5+eda (current),cov>=0.5,12,154,0.7578358208955224,0.8791044776119403
wrist_hr5+eda (current),cov<0.5,12,128,0.8597054886211513,0.9504685408299866
wrist_hr3+eda,all,12,282,0.8116270825948246,0.900177242112726
wrist_hr3+eda,cov>=0.5,12,154,0.7466417910447761,0.8686567164179104
wrist_hr3+eda,cov<0.5,12,128,0.8647925033467202,0.9526104417670682
ecg_hr3+eda,all,12,282,0.9846153846153847,0.993158454448777
ecg_hr3+eda,cov>=0.5,12,154,0.975,0.9811567164179105
ecg_hr3+eda,cov<0.5,12,128,0.9888888888888889,1.0
ecg_hr3 only,all,12,282,0.916199929103155,0.9767812832328961
ecg_hr3 only,cov>=0.5,12,154,0.8462686567164179,0.985820895522388
ecg_hr3 only,cov<0.5,12,128,0.9165997322623829,0.9775100401606426
wrist_hr3 only,all,12,282,0.6903225806451614,0.7357320099255583
wrist_hr3 only,cov>=0.5,12,154,0.6451492537313432,0.8996268656716419
wrist_hr3 only,cov<0.5,12,128,0.5,0.5
wrist_hr5 only,all,12,282,0.7433888691953208,0.7570010634526763
wrist_hr5 only,cov>=0.5,12,154,0.8063432835820896,0.9470149253731343
wrist_hr5 only,cov<0.5,12,128,0.5,0.5
eda only,all,12,282,0.7124069478908188,0.8724920241049273
eda only,cov>=0.5,12,154,0.6955223880597015,0.8115671641791045
eda only,cov<0.5,12,128,0.7666666666666666,0.9585006693440429
ecg_hr3+wrist_hr5+eda,all,12,282,0.9646224742998937,0.9884438142502658
ecg_hr3+wrist_hr5+eda,cov>=0.5,12,154,0.9,0.9664179104477612
ecg_hr3+wrist_hr5+eda,cov<0.5,12,128,0.9879518072289157,1.0
wrist_hr5+eda (current),all,13,279,0.9170506912442397,0.9739111045042366
wrist_hr5+eda (current),cov>=0.5,13,206,0.9286518435125246,0.9831128623698283
wrist_hr5+eda (current),cov<0.5,13,73,0.9135658914728682,0.9860465116279069
wrist_hr3+eda,all,13,279,0.9078341013824884,0.9724988850899361
wrist_hr3+eda,cov>=0.5,13,206,0.9179566563467492,0.9791725302561215
wrist_hr3+eda,cov<0.5,13,73,0.9135658914728682,0.9868217054263566
ecg_hr3+eda,all,13,279,0.9769585253456221,0.997101233833804
ecg_hr3+eda,cov>=0.5,13,206,0.9656628201519842,0.9954967632986208
ecg_hr3+eda,cov<0.5,13,73,0.9883720930232558,1.0
ecg_hr3 only,all,13,279,0.9792626728110599,0.9989594172736732
ecg_hr3 only,cov>=0.5,13,206,0.9946524064171123,0.9983112862369828
ecg_hr3 only,cov<0.5,13,73,0.9767441860465116,1.0
wrist_hr3 only,all,13,279,0.8294930875576036,0.8695555225211833
wrist_hr3 only,cov>=0.5,13,206,0.7466929355474248,0.8530819026175065
wrist_hr3 only,cov<0.5,13,73,0.5,0.5
wrist_hr5 only,all,13,279,0.8352534562211982,0.8887319756206333
wrist_hr5 only,cov>=0.5,13,206,0.770334928229665,0.9330143540669856
wrist_hr5 only,cov<0.5,13,73,0.5,0.5
eda only,all,13,279,0.8951612903225806,0.9217333135127099
eda only,cov>=0.5,13,206,0.9099352659724177,0.945116802701942
eda only,cov<0.5,13,73,0.9186046511627908,0.9418604651162791
ecg_hr3+wrist_hr5+eda,all,13,279,0.9769585253456221,0.9984391259105099
ecg_hr3+wrist_hr5+eda,cov>=0.5,13,206,0.9656628201519842,0.9988741908246552
ecg_hr3+wrist_hr5+eda,cov<0.5,13,73,0.9883720930232558,1.0
wrist_hr5+eda (current),all,14,276,0.9815668202764978,0.9971881590252285
wrist_hr5+eda (current),cov>=0.5,14,191,0.9885714285714285,0.9935714285714285
wrist_hr5+eda (current),cov<0.5,14,85,0.9523809523809523,0.9977851605758582
wrist_hr3+eda,all,14,276,0.9753963914707491,0.9971881590252285
wrist_hr3+eda,cov>=0.5,14,191,0.9573214285714285,0.9935714285714285
wrist_hr3+eda,cov<0.5,14,85,0.9642857142857143,0.9977851605758582
ecg_hr3+eda,all,14,276,0.909982035460439,0.9859407951261423
ecg_hr3+eda,cov>=0.5,14,191,0.7667857142857143,0.9535714285714286
ecg_hr3+eda,cov<0.5,14,85,0.9880952380952381,0.9889258028792913
ecg_hr3 only,all,14,276,0.8214480981020074,0.8824494259158009
ecg_hr3 only,cov>=0.5,14,191,0.6785714285714286,0.7423214285714286
ecg_hr3 only,cov<0.5,14,85,0.9183277962347729,0.987264673311185
wrist_hr3 only,all,14,276,0.7500976333671796,0.8043427321721471
wrist_hr3 only,cov>=0.5,14,191,0.5819642857142857,0.8232142857142857
wrist_hr3 only,cov<0.5,14,85,0.5,0.5
wrist_hr5 only,all,14,276,0.7778255096461767,0.8238694056080605
wrist_hr5 only,cov>=0.5,14,191,0.6785714285714286,0.8510714285714287
wrist_hr5 only,cov<0.5,14,85,0.5,0.5
eda only,all,14,276,0.988479262672811,0.9986721862063578
eda only,cov>=0.5,14,191,0.9885714285714285,0.9992857142857143
eda only,cov<0.5,14,85,0.9880952380952381,0.9972314507198228
ecg_hr3+wrist_hr5+eda,all,14,276,0.909982035460439,0.9859407951261423
ecg_hr3+wrist_hr5+eda,cov>=0.5,14,191,0.7667857142857143,0.9553571428571428
ecg_hr3+wrist_hr5+eda,cov<0.5,14,85,0.9880952380952381,0.9847729789590254
wrist_hr5+eda (current),all,15,284,0.8432835820895522,0.966159983492675
wrist_hr5+eda (current),cov>=0.5,15,227,0.8421052631578947,0.9624060150375939
wrist_hr5+eda (current),cov<0.5,15,57,0.8448275862068966,0.9679802955665024
wrist_hr3+eda,all,15,284,0.835820895522388,0.9651970561936859
wrist_hr3+eda,cov>=0.5,15,227,0.8289473684210527,0.9608744082428293
wrist_hr3+eda,cov<0.5,15,57,0.8448275862068966,0.9704433497536946
ecg_hr3+eda,all,15,284,0.9776119402985075,0.9938785335992848
ecg_hr3+eda,cov>=0.5,15,227,0.986842105263158,0.9894179894179894
ecg_hr3+eda,cov<0.5,15,57,0.9655172413793103,1.0
ecg_hr3 only,all,15,284,0.9258202077171744,0.9825297475754866
ecg_hr3 only,cov>=0.5,15,227,0.8945279866332498,0.9763297131718184
ecg_hr3 only,cov<0.5,15,57,0.9821428571428572,0.9913793103448276
wrist_hr3 only,all,15,284,0.7919389228970355,0.8907077515647568
wrist_hr3 only,cov>=0.5,15,227,0.7525758841548316,0.9367864104706211
wrist_hr3 only,cov<0.5,15,57,0.5,0.5
wrist_hr5 only,all,15,284,0.7913886787261848,0.910860444322168
wrist_hr5 only,cov>=0.5,15,227,0.7473544973544973,0.989139515455305
wrist_hr5 only,cov<0.5,15,57,0.5,0.5
eda only,all,15,284,0.851846756998418,0.9211431322649427
eda only,cov>=0.5,15,227,0.8657059314954052,0.9214703425229741
eda only,cov<0.5,15,57,0.8448275862068966,0.9568965517241379
ecg_hr3+wrist_hr5+eda,all,15,284,0.9701492537313433,0.9916775569158814
