dataset,model,split,ba_unmatched,ba_dataset_range,ba_subject_range
UBFC-Phys,phys_external,1,0.85,,
UBFC-Phys,time_only_within,2,0.5,,
UBFC-Phys,phys_within,2,0.8,,
UBFC-Phys,phys_external,2,0.85,,
UBFC-Phys,time_only_within,3,0.5,,
UBFC-Phys,phys_within,3,0.85,,
UBFC-Phys,phys_external,3,0.75,,
UBFC-Phys,time_only_within,4,0.5,,
UBFC-Phys,phys_within,4,0.8416666666666667,,
UBFC-Phys,phys_external,4,0.7583333333333333,,
UBFC-Phys,time_only_within,5,0.5,,
UBFC-Phys,phys_within,5,0.875,,
UBFC-Phys,phys_external,5,0.7250000000000001,,
UBFC-Phys,time_only_within,6,0.5,,
UBFC-Phys,phys_within,6,0.625,,
UBFC-Phys,phys_external,6,0.575,,
UBFC-Phys,time_only_within,7,0.5,,
UBFC-Phys,phys_within,7,0.725,,
UBFC-Phys,phys_external,7,0.825,,
UBFC-Phys,time_only_within,8,0.5,,
UBFC-Phys,phys_within,8,0.8166666666666667,,
UBFC-Phys,phys_external,8,0.7333333333333334,,
UBFC-Phys,time_only_within,9,0.5,,
UBFC-Phys,phys_within,9,0.75,,
UBFC-Phys,phys_external,9,0.9375,,
UBFC-Phys,time_only_within,10,0.5,,
UBFC-Phys,phys_within,10,0.825,,
UBFC-Phys,phys_external,10,0.65,,
UBFC-Phys,time_only_within,11,0.5,,
UBFC-Phys,phys_within,11,0.8500000000000001,,
UBFC-Phys,phys_external,11,0.7,,
UBFC-Phys,time_only_within,12,0.5,,
UBFC-Phys,phys_within,12,0.775,,
UBFC-Phys,phys_external,12,0.825,,
UBFC-Phys,time_only_within,13,0.5,,
UBFC-Phys,phys_within,13,0.9,,
UBFC-Phys,phys_external,13,0.7833333333333333,,
UBFC-Phys,time_only_within,14,0.5,,
UBFC-Phys,phys_within,14,0.775,,
UBFC-Phys,phys_external,14,0.925,,
UBFC-Phys,time_only_within,15,0.5,,
UBFC-Phys,phys_within,15,0.925,,
UBFC-Phys,phys_external,15,0.7,,
UBFC-Phys,time_only_within,16,0.5,,
UBFC-Phys,phys_within,16,0.85,,
UBFC-Phys,phys_external,16,0.8,,
UBFC-Phys,time_only_within,17,0.5,,
UBFC-Phys,phys_within,17,0.75,,
UBFC-Phys,phys_external,17,0.7749999999999999,,
UBFC-Phys,time_only_within,18,0.5,,
UBFC-Phys,phys_within,18,0.675,,
UBFC-Phys,phys_external,18,0.575,,
UBFC-Phys,time_only_within,19,0.5,,
UBFC-Phys,phys_within,19,0.875,,
UBFC-Phys,phys_external,19,0.825,,
WESAD,time_only_within,0,0.9280085432316983,0.5971986417657046,
WESAD,phys_within,0,0.9931506849315068,1.0,
WESAD,phys_external,0,0.9394240683458536,0.9393039049235994,
WESAD,time_only_within,1,0.9049923195084486,0.48333333333333334,
WESAD,phys_within,1,0.9473502304147465,0.975,
WESAD,phys_external,1,0.9124423963133641,0.7916666666666667,
WESAD,time_only_within,2,0.8762435936086825,0.7512903225806452,
WESAD,phys_within,2,0.8834790473319265,0.8951612903225806,
WESAD,phys_external,2,0.8908652396744046,0.9116129032258065,
WESAD,time_only_within,3,0.9070336391437309,0.6125,
WESAD,phys_within,3,0.9931192660550459,1.0,
WESAD,phys_external,3,0.9457951070336391,0.9916666666666667,
WESAD,time_only_within,4,0.9246575342465753,0.6142857142857143,
WESAD,phys_within,4,0.9803877535743692,0.9775175644028102,
WESAD,phys_external,4,0.9246575342465753,0.8428571428571429,
WESAD,time_only_within,5,0.8831797235023042,0.45,
WESAD,phys_within,5,0.9838709677419355,1.0,
WESAD,phys_external,5,0.9363671274961598,0.8666666666666667,
WESAD,time_only_within,6,0.8857511997046881,0.753968253968254,
WESAD,phys_within,6,0.7806570690291621,0.8015873015873016,
WESAD,phys_external,6,0.8172019195275009,0.810515873015873,
WESAD,time_only_within,7,0.8798963133640554,0.6794354838709677,
WESAD,phys_within,7,0.859375,0.859375,
WESAD,phys_external,7,0.8909130184331797,0.8724798387096775,
WESAD,time_only_within,8,0.9201102968950668,0.47540983606557374,
WESAD,phys_within,8,0.933406360957921,0.9426229508196722,
WESAD,phys_external,8,0.8660572637304526,0.7669789227166277,
WESAD,time_only_within,9,0.9361111111111111,0.7316666666666667,
WESAD,phys_within,9,0.9814814814814814,1.0,
WESAD,phys_external,9,0.9513888888888888,1.0,
WESAD,time_only_within,10,0.9188172043010753,0.65,
WESAD,phys_within,10,0.9640168970814131,0.9708333333333333,
WESAD,phys_external,10,0.9308755760368663,0.7708333333333333,
WESAD,time_only_within,11,0.8724798387096775,0.5642361111111112,
WESAD,phys_within,11,0.8892209101382489,0.8984375,
WESAD,phys_external,11,0.8701756912442397,0.9253472222222222,
WESAD,time_only_within,12,0.852428216944346,0.5307692307692308,
WESAD,phys_within,12,0.8108472172988301,0.8615384615384616,
WESAD,phys_external,12,0.8639844026940802,0.7824175824175824,
WESAD,time_only_within,13,0.9297235023041475,0.5571528751753155,
WESAD,phys_within,13,0.9147465437788018,0.935483870967742,
WESAD,phys_external,13,0.8525345622119815,0.7019635343618513,
WESAD,time_only_within,14,0.9123642896196205,0.6545762711864407,
WESAD,phys_within,14,0.9815668202764978,1.0,
WESAD,phys_external,14,0.9377880184331797,0.98,
WESAD,time_only_within,15,0.8889538482701699,0.5917188252286952,
WESAD,phys_within,15,0.8432835820895522,0.8432835820895522,
WESAD,phys_external,15,0.8855492124630304,0.8832450649975927,
WESAD,time_only_within,16,0.8762044407205698,0.5517676767676768,
WESAD,phys_within,16,0.8484848484848485,0.8484848484848485,
WESAD,phys_external,16,0.8732369780756877,0.9191919191919191,
WESAD,time_only_within,17,0.8389550264550265,0.6190476190476191,
WESAD,phys_within,17,0.8888888888888888,0.8888888888888888,
WESAD,phys_external,17,0.8875661375661376,0.9246031746031746,
WESAD,time_only_within,18,0.9321705426356589,0.6756410256410257,
WESAD,phys_within,18,0.9160852713178295,0.9416666666666667,
WESAD,phys_external,18,0.8608527131782946,0.9166666666666667,
WESAD,time_only_within,19,0.9398148148148149,0.5,
WESAD,phys_within,19,0.9227150537634409,0.9435483870967742,
WESAD,phys_external,19,0.875373357228196,0.9193548387096775,
