dataset,subject_id,subject_uid,harmonized_label,timestamp_start,temp_available,r1_range,r2_slope,r3_temp,invalid_frac,invalid_frac_eda_rules,raw_eda_range,raw_eda_mean
Campanella2024,subject_03,Campanella2024:subject_03,Baseline,105.0,True,0.0,0.0,0.0,0.0,0.0,0.03587699999999994,0.5079623000000001
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,240.0,True,0.0,0.0,0.0,0.0,0.0,0.07431699999999997,0.46710909583333327
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,270.0,True,0.0,0.0,0.0,0.0,0.0,0.162729,0.4830670625
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,300.0,True,0.0,0.0,0.0,0.0,0.0,0.15632199999999996,0.508933975
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,330.0,True,0.0,0.0,0.0,0.0,0.0,0.44974700000000006,0.5456548
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,360.0,True,0.0,0.0,0.0,0.0,0.0,0.44205900000000004,0.6008534124999999
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,390.0,True,0.0,0.0,0.0,0.0,0.0,0.231921,0.6384390916666667
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,420.0,True,0.0,0.0,0.0,0.0,0.0,0.254985,0.6545892416666667
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,450.0,True,0.0,0.0,0.0,0.0,0.0,0.246016,0.6714974916666667
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,480.0,True,0.0,0.0,0.0,0.0,0.0,0.17682399999999998,0.6591966791666667
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,510.0,True,0.0,0.0,0.0,0.0,0.0,0.33442799999999995,0.6368534125000002
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,540.0,True,0.0,0.0,0.0,0.0,0.0,0.32674000000000003,0.6452087916666668
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,570.0,True,0.0,0.0,0.0,0.0,0.0,0.15760399999999997,0.6653844583333334
Campanella2024,subject_03,Campanella2024:subject_03,Manual task,600.0,True,0.0,0.0,0.0,0.0,0.0,0.12685199999999996,0.6888969041666666
